MZ_ID,TZ_ID,STATE,STATEFP10,COUNTY,COUNTYFP10,GEOID10_tract,TRACTCE10,GEOID10_block,BLOCKCE10,PUMA2000,PUMACE2010,AFFGEOID10,GEOID10_PUMA10,REGION,PUMA,MAZ,TAZ
10306002020,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2020,100,2600,7950000US1302600,1302600,1,10013,6360,68
10306002021,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2021,100,2600,7950000US1302600,1302600,1,10013,6607,68
10306002022,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2022,100,2600,7950000US1302600,1302600,1,10013,6703,68
10306002025,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2025,100,2600,7950000US1302600,1302600,1,10013,6655,68
10306002026,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2026,100,2600,7950000US1302600,1302600,1,10013,6127,68
10306002027,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2027,100,2600,7950000US1302600,1302600,1,10013,6006,68
10306002030,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2030,100,2600,7950000US1302600,1302600,1,10013,6305,68
10306005006,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,5006,100,2600,7950000US1302600,1302600,1,10013,6688,68
30118005000,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,5000,1900,2001,7950000US4702001,4702001,1,190047,2323,99
30118005001,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,5001,1900,2001,7950000US4702001,4702001,1,190047,2186,99
30118005002,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,5002,1900,2001,7950000US4702001,4702001,1,190047,3712,99
30118005004,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,5004,1900,2001,7950000US4702001,4702001,1,190047,2126,99
30118005005,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,5005,1900,2001,7950000US4702001,4702001,1,190047,541,99
30118005006,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,5006,1900,2001,7950000US4702001,4702001,1,190047,5284,99
30118005007,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,5007,1900,2001,7950000US4702001,4702001,1,190047,5875,99
30118006000,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6000,1900,2001,7950000US4702001,4702001,1,190047,960,99
30118006001,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6001,1900,2001,7950000US4702001,4702001,1,190047,401,99
30118006002,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6002,1900,2001,7950000US4702001,4702001,1,190047,5874,99
30118006003,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6003,1900,2001,7950000US4702001,4702001,1,190047,399,99
30118006004,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6004,1900,2001,7950000US4702001,4702001,1,190047,5873,99
30118006005,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6005,1900,2001,7950000US4702001,4702001,1,190047,2719,99
30118006006,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6006,1900,2001,7950000US4702001,4702001,1,190047,1957,99
30118006008,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6008,1900,2001,7950000US4702001,4702001,1,190047,2125,99
30118006009,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6009,1900,2001,7950000US4702001,4702001,1,190047,5131,99
30118006010,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6010,1900,2001,7950000US4702001,4702001,1,190047,400,99
30118006011,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6011,1900,2001,7950000US4702001,4702001,1,190047,5272,99
30118006012,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6012,1900,2001,7950000US4702001,4702001,1,190047,5271,99
30118006013,3,TN,47,Hamilton,65,47065011800,11800,470650000000000,6013,1900,2001,7950000US4702001,4702001,1,190047,2718,99
40201006000,4,GA,13,Walker,295,13295020100,20100,132950000000000,6000,100,2600,7950000US1302600,1302600,1,10013,7449,54
40201006002,4,GA,13,Walker,295,13295020100,20100,132950000000000,6002,100,2600,7950000US1302600,1302600,1,10013,7027,54
40201006004,4,GA,13,Walker,295,13295020100,20100,132950000000000,6004,100,2600,7950000US1302600,1302600,1,10013,7491,54
40201006005,4,GA,13,Walker,295,13295020100,20100,132950000000000,6005,100,2600,7950000US1302600,1302600,1,10013,6997,54
40201006007,4,GA,13,Walker,295,13295020100,20100,132950000000000,6007,100,2600,7950000US1302600,1302600,1,10013,7125,54
40201006008,4,GA,13,Walker,295,13295020100,20100,132950000000000,6008,100,2600,7950000US1302600,1302600,1,10013,7344,54
40201006009,4,GA,13,Walker,295,13295020100,20100,132950000000000,6009,100,2600,7950000US1302600,1302600,1,10013,7226,54
40201006010,4,GA,13,Walker,295,13295020100,20100,132950000000000,6010,100,2600,7950000US1302600,1302600,1,10013,6972,54
40201006013,4,GA,13,Walker,295,13295020100,20100,132950000000000,6013,100,2600,7950000US1302600,1302600,1,10013,7277,54
40201006014,4,GA,13,Walker,295,13295020100,20100,132950000000000,6014,100,2600,7950000US1302600,1302600,1,10013,7276,54
40201006015,4,GA,13,Walker,295,13295020100,20100,132950000000000,6015,100,2600,7950000US1302600,1302600,1,10013,7126,54
40201006016,4,GA,13,Walker,295,13295020100,20100,132950000000000,6016,100,2600,7950000US1302600,1302600,1,10013,7346,54
40201006017,4,GA,13,Walker,295,13295020100,20100,132950000000000,6017,100,2600,7950000US1302600,1302600,1,10013,6757,54
40201006018,4,GA,13,Walker,295,13295020100,20100,132950000000000,6018,100,2600,7950000US1302600,1302600,1,10013,7155,54
40201006019,4,GA,13,Walker,295,13295020100,20100,132950000000000,6019,100,2600,7950000US1302600,1302600,1,10013,7275,54
40201006020,4,GA,13,Walker,295,13295020100,20100,132950000000000,6020,100,2600,7950000US1302600,1302600,1,10013,7156,54
40201006021,4,GA,13,Walker,295,13295020100,20100,132950000000000,6021,100,2600,7950000US1302600,1302600,1,10013,7127,54
40201006022,4,GA,13,Walker,295,13295020100,20100,132950000000000,6022,100,2600,7950000US1302600,1302600,1,10013,7345,54
40201006028,4,GA,13,Walker,295,13295020100,20100,132950000000000,6028,100,2600,7950000US1302600,1302600,1,10013,7278,54
40201006029,4,GA,13,Walker,295,13295020100,20100,132950000000000,6029,100,2600,7950000US1302600,1302600,1,10013,6973,54
40201006031,4,GA,13,Walker,295,13295020100,20100,132950000000000,6031,100,2600,7950000US1302600,1302600,1,10013,7129,54
40201006032,4,GA,13,Walker,295,13295020100,20100,132950000000000,6032,100,2600,7950000US1302600,1302600,1,10013,7279,54
40202001000,4,GA,13,Walker,295,13295020200,20200,132950000000000,1000,100,2600,7950000US1302600,1302600,1,10013,7225,56
40202001001,4,GA,13,Walker,295,13295020200,20200,132950000000000,1001,100,2600,7950000US1302600,1302600,1,10013,7342,56
40202001003,4,GA,13,Walker,295,13295020200,20200,132950000000000,1003,100,2600,7950000US1302600,1302600,1,10013,6885,56
40202001045,4,GA,13,Walker,295,13295020200,20200,132950000000000,1045,100,2600,7950000US1302600,1302600,1,10013,7293,56
40202001063,4,GA,13,Walker,295,13295020200,20200,132950000000000,1063,100,2600,7950000US1302600,1302600,1,10013,7024,56
50306003000,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3000,100,2600,7950000US1302600,1302600,1,10013,6628,68
50306003001,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3001,100,2600,7950000US1302600,1302600,1,10013,6257,68
50306003003,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3003,100,2600,7950000US1302600,1302600,1,10013,6318,68
50306003004,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3004,100,2600,7950000US1302600,1302600,1,10013,6411,68
50306003005,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3005,100,2600,7950000US1302600,1302600,1,10013,6166,68
50306003006,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3006,100,2600,7950000US1302600,1302600,1,10013,6077,68
50306003007,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3007,100,2600,7950000US1302600,1302600,1,10013,6683,68
50306003009,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3009,100,2600,7950000US1302600,1302600,1,10013,6357,68
50306003010,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3010,100,2600,7950000US1302600,1302600,1,10013,5914,68
50306003011,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3011,100,2600,7950000US1302600,1302600,1,10013,6059,68
50306003012,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3012,100,2600,7950000US1302600,1302600,1,10013,6168,68
50306003013,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3013,100,2600,7950000US1302600,1302600,1,10013,5905,68
50306003015,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3015,100,2600,7950000US1302600,1302600,1,10013,6548,68
50306003017,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3017,100,2600,7950000US1302600,1302600,1,10013,6317,68
50306003018,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3018,100,2600,7950000US1302600,1302600,1,10013,6219,68
50306003019,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3019,100,2600,7950000US1302600,1302600,1,10013,6654,68
50306003020,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,3020,100,2600,7950000US1302600,1302600,1,10013,6356,68
50306004002,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4002,100,2600,7950000US1302600,1302600,1,10013,6687,68
50306004004,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4004,100,2600,7950000US1302600,1302600,1,10013,6103,68
50306004005,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4005,100,2600,7950000US1302600,1302600,1,10013,6101,68
50306004007,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4007,100,2600,7950000US1302600,1302600,1,10013,6738,68
50306004009,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4009,100,2600,7950000US1302600,1302600,1,10013,6598,68
50306004010,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4010,100,2600,7950000US1302600,1302600,1,10013,6202,68
50306004019,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4019,100,2600,7950000US1302600,1302600,1,10013,6579,68
50306004025,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4025,100,2600,7950000US1302600,1302600,1,10013,6167,68
50306004034,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4034,100,2600,7950000US1302600,1302600,1,10013,6597,68
50306004038,5,GA,13,Catoosa,47,13047030600,30600,130470000000000,4038,100,2600,7950000US1302600,1302600,1,10013,5904,68
60305001053,6,GA,13,Catoosa,47,13047030500,30500,130470000000000,1053,100,2600,7950000US1302600,1302600,1,10013,6412,71
60305001054,6,GA,13,Catoosa,47,13047030500,30500,130470000000000,1054,100,2600,7950000US1302600,1302600,1,10013,6629,71
60305001055,6,GA,13,Catoosa,47,13047030500,30500,130470000000000,1055,100,2600,7950000US1302600,1302600,1,10013,6016,71
60306001000,6,GA,13,Catoosa,47,13047030600,30600,130470000000000,1000,100,2600,7950000US1302600,1302600,1,10013,6212,68
60306001007,6,GA,13,Catoosa,47,13047030600,30600,130470000000000,1007,100,2600,7950000US1302600,1302600,1,10013,6258,68
60306001008,6,GA,13,Catoosa,47,13047030600,30600,130470000000000,1008,100,2600,7950000US1302600,1302600,1,10013,6648,68
70116006001,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6001,1900,2001,7950000US4702001,4702001,1,190047,2518,25
70116006002,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6002,1900,2001,7950000US4702001,4702001,1,190047,499,25
70116006003,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6003,1900,2001,7950000US4702001,4702001,1,190047,2750,25
70116006004,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6004,1900,2001,7950000US4702001,4702001,1,190047,4827,25
70116006005,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6005,1900,2001,7950000US4702001,4702001,1,190047,2402,25
70116006006,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6006,1900,2001,7950000US4702001,4702001,1,190047,5285,25
70116006007,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6007,1900,2001,7950000US4702001,4702001,1,190047,496,25
70116006008,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6008,1900,2001,7950000US4702001,4702001,1,190047,3953,25
70116006009,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6009,1900,2001,7950000US4702001,4702001,1,190047,858,25
70116006010,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6010,1900,2001,7950000US4702001,4702001,1,190047,498,25
70116006011,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6011,1900,2001,7950000US4702001,4702001,1,190047,4707,25
70116006012,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6012,1900,2001,7950000US4702001,4702001,1,190047,2822,25
70116006013,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6013,1900,2001,7950000US4702001,4702001,1,190047,856,25
70116006014,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6014,1900,2001,7950000US4702001,4702001,1,190047,857,25
70116006015,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6015,1900,2001,7950000US4702001,4702001,1,190047,2517,25
70116006016,7,TN,47,Hamilton,65,47065011600,11600,470650000000000,6016,1900,2001,7950000US4702001,4702001,1,190047,2403,25
80307003031,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,3031,100,2600,7950000US1302600,1302600,1,10013,6010,70
80307003033,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,3033,100,2600,7950000US1302600,1302600,1,10013,6645,70
80307003041,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,3041,100,2600,7950000US1302600,1302600,1,10013,5939,70
80307003043,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,3043,100,2600,7950000US1302600,1302600,1,10013,5938,70
80307004021,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4021,100,2600,7950000US1302600,1302600,1,10013,6493,70
80307004022,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4022,100,2600,7950000US1302600,1302600,1,10013,6104,70
80307004023,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4023,100,2600,7950000US1302600,1302600,1,10013,6490,70
80307004024,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4024,100,2600,7950000US1302600,1302600,1,10013,6060,70
80307004025,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4025,100,2600,7950000US1302600,1302600,1,10013,6689,70
80307004026,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4026,100,2600,7950000US1302600,1302600,1,10013,6595,70
80307004029,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4029,100,2600,7950000US1302600,1302600,1,10013,6452,70
80307004034,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4034,100,2600,7950000US1302600,1302600,1,10013,6298,70
80307004036,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4036,100,2600,7950000US1302600,1302600,1,10013,6580,70
80307004039,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4039,100,2600,7950000US1302600,1302600,1,10013,6209,70
80307004041,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4041,100,2600,7950000US1302600,1302600,1,10013,6734,70
80307004045,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4045,100,2600,7950000US1302600,1302600,1,10013,6735,70
80307004046,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4046,100,2600,7950000US1302600,1302600,1,10013,5935,70
80307004048,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4048,100,2600,7950000US1302600,1302600,1,10013,6453,70
80307004050,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4050,100,2600,7950000US1302600,1302600,1,10013,6576,70
80307004056,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4056,100,2600,7950000US1302600,1302600,1,10013,6736,70
80307004057,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4057,100,2600,7950000US1302600,1302600,1,10013,6302,70
80307004061,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,4061,100,2600,7950000US1302600,1302600,1,10013,5937,70
80307005001,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5001,100,2600,7950000US1302600,1302600,1,10013,6581,70
80307005002,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5002,100,2600,7950000US1302600,1302600,1,10013,5936,70
80307005003,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5003,100,2600,7950000US1302600,1302600,1,10013,6643,70
80307005004,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5004,100,2600,7950000US1302600,1302600,1,10013,6644,70
80307005005,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5005,100,2600,7950000US1302600,1302600,1,10013,6303,70
80307005006,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5006,100,2600,7950000US1302600,1302600,1,10013,6583,70
80307005007,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5007,100,2600,7950000US1302600,1302600,1,10013,6008,70
80307005008,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5008,100,2600,7950000US1302600,1302600,1,10013,6684,70
80307005010,8,GA,13,Catoosa,47,13047030700,30700,130470000000000,5010,100,2600,7950000US1302600,1302600,1,10013,6105,70
90201004018,9,GA,13,Walker,295,13295020100,20100,132950000000000,4018,100,2600,7950000US1302600,1302600,1,10013,7076,54
90201004023,9,GA,13,Walker,295,13295020100,20100,132950000000000,4023,100,2600,7950000US1302600,1302600,1,10013,7130,54
90201004024,9,GA,13,Walker,295,13295020100,20100,132950000000000,4024,100,2600,7950000US1302600,1302600,1,10013,7109,54
90201004026,9,GA,13,Walker,295,13295020100,20100,132950000000000,4026,100,2600,7950000US1302600,1302600,1,10013,6783,54
90201004029,9,GA,13,Walker,295,13295020100,20100,132950000000000,4029,100,2600,7950000US1302600,1302600,1,10013,6976,54
90201004035,9,GA,13,Walker,295,13295020100,20100,132950000000000,4035,100,2600,7950000US1302600,1302600,1,10013,7112,54
100201004000,10,GA,13,Walker,295,13295020100,20100,132950000000000,4000,100,2600,7950000US1302600,1302600,1,10013,6999,54
100201004001,10,GA,13,Walker,295,13295020100,20100,132950000000000,4001,100,2600,7950000US1302600,1302600,1,10013,7274,54
100201004003,10,GA,13,Walker,295,13295020100,20100,132950000000000,4003,100,2600,7950000US1302600,1302600,1,10013,7433,54
100201004005,10,GA,13,Walker,295,13295020100,20100,132950000000000,4005,100,2600,7950000US1302600,1302600,1,10013,6922,54
100201004007,10,GA,13,Walker,295,13295020100,20100,132950000000000,4007,100,2600,7950000US1302600,1302600,1,10013,7303,54
100201004008,10,GA,13,Walker,295,13295020100,20100,132950000000000,4008,100,2600,7950000US1302600,1302600,1,10013,7322,54
100201004014,10,GA,13,Walker,295,13295020100,20100,132950000000000,4014,100,2600,7950000US1302600,1302600,1,10013,6771,54
100201004015,10,GA,13,Walker,295,13295020100,20100,132950000000000,4015,100,2600,7950000US1302600,1302600,1,10013,7110,54
100201004025,10,GA,13,Walker,295,13295020100,20100,132950000000000,4025,100,2600,7950000US1302600,1302600,1,10013,7321,54
100201004032,10,GA,13,Walker,295,13295020100,20100,132950000000000,4032,100,2600,7950000US1302600,1302600,1,10013,7160,54
110201005000,11,GA,13,Walker,295,13295020100,20100,132950000000000,5000,100,2600,7950000US1302600,1302600,1,10013,6938,54
110201005004,11,GA,13,Walker,295,13295020100,20100,132950000000000,5004,100,2600,7950000US1302600,1302600,1,10013,7113,54
110201005039,11,GA,13,Walker,295,13295020100,20100,132950000000000,5039,100,2600,7950000US1302600,1302600,1,10013,7111,54
110201005040,11,GA,13,Walker,295,13295020100,20100,132950000000000,5040,100,2600,7950000US1302600,1302600,1,10013,7228,54
110201005043,11,GA,13,Walker,295,13295020100,20100,132950000000000,5043,100,2600,7950000US1302600,1302600,1,10013,6773,54
150305002001,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2001,100,2600,7950000US1302600,1302600,1,10013,6308,71
150305002002,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2002,100,2600,7950000US1302600,1302600,1,10013,6495,71
150305002003,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2003,100,2600,7950000US1302600,1302600,1,10013,6304,71
150305002004,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2004,100,2600,7950000US1302600,1302600,1,10013,6061,71
150305002006,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2006,100,2600,7950000US1302600,1302600,1,10013,6650,71
150305002008,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2008,100,2600,7950000US1302600,1302600,1,10013,6215,71
150305002010,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2010,100,2600,7950000US1302600,1302600,1,10013,6081,71
150305002011,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2011,100,2600,7950000US1302600,1302600,1,10013,5915,71
150305002012,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2012,100,2600,7950000US1302600,1302600,1,10013,6494,71
150305002014,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2014,100,2600,7950000US1302600,1302600,1,10013,6128,71
150305002015,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2015,100,2600,7950000US1302600,1302600,1,10013,6225,71
150305002028,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2028,100,2600,7950000US1302600,1302600,1,10013,6312,71
150305002032,15,GA,13,Catoosa,47,13047030500,30500,130470000000000,2032,100,2600,7950000US1302600,1302600,1,10013,6602,71
170116004003,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4003,1900,2001,7950000US4702001,4702001,1,190047,2910,25
170116004004,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4004,1900,2001,7950000US4702001,4702001,1,190047,3209,25
170116004005,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4005,1900,2001,7950000US4702001,4702001,1,190047,4971,25
170116004006,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4006,1900,2001,7950000US4702001,4702001,1,190047,2450,25
170116004007,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4007,1900,2001,7950000US4702001,4702001,1,190047,3948,25
170116004008,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4008,1900,2001,7950000US4702001,4702001,1,190047,538,25
170116004009,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4009,1900,2001,7950000US4702001,4702001,1,190047,5443,25
170116004010,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4010,1900,2001,7950000US4702001,4702001,1,190047,509,25
170116004011,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4011,1900,2001,7950000US4702001,4702001,1,190047,2449,25
170116004012,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4012,1900,2001,7950000US4702001,4702001,1,190047,4842,25
170116004013,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4013,1900,2001,7950000US4702001,4702001,1,190047,4966,25
170116004014,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4014,1900,2001,7950000US4702001,4702001,1,190047,2992,25
170116004015,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4015,1900,2001,7950000US4702001,4702001,1,190047,4967,25
170116004016,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4016,1900,2001,7950000US4702001,4702001,1,190047,539,25
170116004017,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4017,1900,2001,7950000US4702001,4702001,1,190047,3951,25
170116004018,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4018,1900,2001,7950000US4702001,4702001,1,190047,4830,25
170116004019,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4019,1900,2001,7950000US4702001,4702001,1,190047,5008,25
170116004020,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4020,1900,2001,7950000US4702001,4702001,1,190047,3949,25
170116004021,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4021,1900,2001,7950000US4702001,4702001,1,190047,5444,25
170116004022,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4022,1900,2001,7950000US4702001,4702001,1,190047,2521,25
170116004023,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4023,1900,2001,7950000US4702001,4702001,1,190047,4841,25
170116004025,17,TN,47,Hamilton,65,47065011600,11600,470650000000000,4025,1900,2001,7950000US4702001,4702001,1,190047,3950,25
180116005000,18,TN,47,Hamilton,65,47065011600,11600,470650000000000,5000,1900,2001,7950000US4702001,4702001,1,190047,3947,25
180116005001,18,TN,47,Hamilton,65,47065011600,11600,470650000000000,5001,1900,2001,7950000US4702001,4702001,1,190047,2914,25
180116005002,18,TN,47,Hamilton,65,47065011600,11600,470650000000000,5002,1900,2001,7950000US4702001,4702001,1,190047,501,25
180116005003,18,TN,47,Hamilton,65,47065011600,11600,470650000000000,5003,1900,2001,7950000US4702001,4702001,1,190047,4828,25
180116005004,18,TN,47,Hamilton,65,47065011600,11600,470650000000000,5004,1900,2001,7950000US4702001,4702001,1,190047,860,25
