MZ_ID,TZ_ID,STATE,STATEFP10,COUNTY,COUNTYFP10,GEOID10_tract,TRACTCE10,GEOID10_block,BLOCKCE10,PUMA2000,PUMACE2010,AFFGEOID10,GEOID10_PUMA10,REGION,PUMA,MAZ,TAZ
-----,-----,-----,---------,------,----------,-------------,---------,-------------,---------,--------,----------,----------,--------------,------,----,---,---
644,1005,NULL,13,External,83,13083040101,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,3,23
647,1009,NULL,13,External,83,13083040101,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,4,23
651,1011,NULL,13,External,295,13295020502,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,5,64
652,1012,NULL,13,External,295,13295020502,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,6,64
653,1014,NULL,13,External,295,13295020601,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,8,91
654,1013,NULL,13,External,295,13295020601,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,7,91
656,1016,NULL,13,External,295,13295020400,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,9,35
676,1004,NULL,13,External,83,13083040300,NULL,NULL,NULL,100,2600,7950000US1302600,1302600,1,10013,7570,42
10306002000,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2000,100,2600,7950000US1302600,1302600,1,10013,6498,68
10306002002,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2002,100,2600,7950000US1302600,1302600,1,10013,5940,68
10306002003,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2003,100,2600,7950000US1302600,1302600,1,10013,6126,68
10306002006,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2006,100,2600,7950000US1302600,1302600,1,10013,6408,68
10306002007,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2007,100,2600,7950000US1302600,1302600,1,10013,6409,68
10306002009,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2009,100,2600,7950000US1302600,1302600,1,10013,5995,68
10306002010,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2010,100,2600,7950000US1302600,1302600,1,10013,5912,68
10306002013,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2013,100,2600,7950000US1302600,1302600,1,10013,6599,68
10306002015,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2015,100,2600,7950000US1302600,1302600,1,10013,5910,68
10306002016,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2016,100,2600,7950000US1302600,1302600,1,10013,6352,68
10306002017,1,GA,13,Catoosa,47,13047030600,30600,130470000000000,2017,100,2600,7950000US1302600,1302600,1,10013,6133,68
