COUNTY,Hamilton,Hamilton,Walker,Walker
Scenario,2019,2050,2019,2050
FUNCCLASS,,,,
1.0,27731.68,121932.47,0.0,0.0
2.0,4064.11,6455.39,0.0,0.0
3.0,23852.43,36170.02,1837.47,2370.38
4.0,20323.54,32448.85,1301.23,1710.31
5.0,3352.01,5191.88,368.15,474.68
6.0,692.45,1097.8,8.82,10.37
7.0,4002.95,3251.3,405.32,517.1
