TAZ_ID,MZ_ID,Notes,MZ_num,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empret_p,empsvc_p,empoth_p,empedu_p,emptot_p,emptrn_p
"150","1500121005001",,1500121005001,18,0,0,1,0,5,4,0,0,28,0
"252","2520109021017",,2520109021017,0,0,0,0,0,0,0,4,0,4,0
"402","4020110021045",,4020110021045,0,0,0,0,0,0,1,0,0,1,0
"609","6090112013023",,6090112013023,0,0,0,0,0,0,0,0,133,133,0
"143","1430401011074",,1430401011074,0,0,0,0,0,0,1,0,0,1,0
"154","1540401011024",,1540401011024,0,0,0,0,0,0,2,0,0,2,0
"816","8160112012015",,8160112012015,0,0,0,0,0,0,4,0,0,4,0
"401","4010111003000",,4010111003000,7,0,15,23,0,4,32,21,0,102,11
"816","8160112012001",,8160112012001,0,0,0,0,0,0,4,0,0,4,0
"816","8160112012000",,8160112012000,0,0,0,0,17,0,0,6,0,23,0
"600","6000112011025",,6000112011025,0,0,0,0,0,0,0,4,0,4,0
"401","4010111003018",,4010111003018,0,0,0,0,5,0,4,0,0,9,0
"513","5130111001028",,5130111001028,0,0,0,0,0,0,40,0,0,40,0
"564","5640112011014",,5640112011014,8,0,1,0,5,0,4,0,0,18,1
"388","3880109021001",,3880109021001,0,0,0,2,0,4,0,0,0,6,0
"513","5130111001039",,5130111001039,0,0,0,25,0,0,15,0,0,40,0
"368","3680114471007",,3680114471007,0,0,41,0,4,0,0,8,0,53,0
"399","3990109033001",,3990109033001,0,0,0,40,27,0,4,0,0,71,0
"399","3990109033000",,3990109033000,0,0,0,0,2,0,0,0,0,2,0
"400","4000111002021",,4000111002021,0,0,0,0,2,0,0,0,0,2,0
"513","5130111001038",,5130111001038,0,0,0,0,0,0,8,0,0,8,0
"369","3690114135007",,3690114135007,0,0,0,0,5,0,0,0,0,5,0
"397","3970109031013",,3970109031013,0,0,0,0,9,0,2,0,0,11,0
"397","3970109031011",,3970109031011,0,0,0,0,0,0,0,2,0,2,0
"397","3970109031010",,3970109031010,0,0,0,0,72,0,0,0,0,72,0
"369","3690114135003",,3690114135003,0,0,0,0,0,0,3,0,0,3,0
"364","3640114134003",,3640114134003,48,0,37,3,29,16,37,0,0,170,25
"391","3910106003003",,3910106003003,0,0,4,14,52,11,13,23,0,117,3
"391","3910106003000",,3910106003000,0,0,0,0,0,0,7,0,0,7,0
"364","3640114134005",,3640114134005,0,0,8,0,15,3,4,2,0,32,6
"390","3900106002014",,3900106002014,0,0,0,0,0,0,4,0,4,8,0
"390","3900106002015",,3900106002015,4,0,3,0,20,0,0,0,0,27,3
"495","4950104322002",,4950104322002,0,0,0,0,0,4,3,2,0,9,0
"505","5050105012001",,5050105012001,0,0,0,0,3,0,6,0,52,61,0
"502","5020104331000",,5020104331000,0,0,0,13,2,3,1,0,0,19,0
"495","4950104323000",,4950104323000,0,0,0,12,0,0,0,0,0,12,0
"370","3700114133001",,3700114133001,0,0,0,0,0,0,5,0,0,5,0
"505","5050105012010",,5050105012010,0,0,0,0,0,0,19,0,0,19,0
"502","5020104331015",,5020104331015,0,0,0,12,0,4,0,17,0,33,0
"505","5050105012007",,5050105012007,0,0,0,0,0,0,3,6,0,9,0
"396","3960104332017",,3960104332017,25,0,0,68,5,24,10,0,0,132,0
"494","4940104324000",,4940104324000,0,0,0,0,0,25,4,0,0,29,0
"494","4940104323006",,4940104323006,0,0,0,0,9,0,0,0,0,9,0
"493","4930104323004",,4930104323004,0,0,0,0,4,0,0,0,0,4,0
"376","3760114132002",,3760114132002,0,0,0,20,0,0,2,1,0,23,0
"536","5360114132006",,5360114132006,0,0,0,0,0,0,0,11,0,11,0
"500","5000104334003",,5000104334003,35,0,0,39,43,70,16,11,0,214,0
"680","6800104321022",,6800104321022,0,0,5,0,17,0,10,0,0,32,5
"500","5000104334006",,5000104334006,20,0,0,10,51,27,42,10,0,160,0
