parcelid xcoord_p ycoord_p sqft_p taz_p lutype_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp hh_1 stugrd_1 stuhgh_1 stuuni_1 empedu_1 empfoo_1 empgov_1 empind_1 empmed_1 empofc_1 empret_1 empsvc_1 empoth_1 emptot_1 parkdy_1 parkhr_1 ppricdy1 pprichr1 nodes1_1 nodes3_1 nodes4_1 tstops_1 nparks_1 aparks_1 hh_2 stugrd_2 stuhgh_2 stuuni_2 empedu_2 empfoo_2 empgov_2 empind_2 empmed_2 empofc_2 empret_2 empsvc_2 empoth_2 emptot_2 parkdy_2 parkhr_2 ppricdy2 pprichr2 nodes1_2 nodes3_2 nodes4_2 tstops_2 nparks_2 aparks_2 dist_lbus dist_ebus dist_crt dist_fry dist_lrt dist_park
2216 2169226 246341 700390 303 2 17.00 0.00 0.00 0.00 0.00 11.00 0.00 0.00 0.00 4.00 3.00 4.00 0.00 22.00 0.00 0.00 0.00 0.00 121.90 11.04 2.48 0.00 5.48 82.68 2.74 59.05 43.24 81.34 289.13 37.38 7.08 608.14 0.00 0.00 754.20 240.70 3.05 28.11 7.85 7.58 83.04 45709 461.40 170.91 95.41 0.00 54.01 146.17 13.29 155.84 72.20 211.42 572.36 111.28 36.55 1373.13 3.14 2.94 772.83 237.83 11.27 71.56 25.77 22.94 285.55 45251 0.16 999.00 999.00 999.00 999.00 0.00
2217 2169917 247647 349476 303 0 0.00 0.00 0.00 0.00 0.00 20.00 0.00 52.00 3.00 66.00 20.00 1.00 10.00 172.00 0.00 0.00 0.00 0.00 96.08 69.81 22.80 0.00 17.30 100.95 2.01 92.49 56.63 171.94 530.72 66.79 19.33 1058.17 0.01 0.01 749.00 239.65 3.92 29.84 7.85 13.06 92.61 39289 499.05 386.93 264.44 0.00 107.71 194.35 14.02 214.00 87.53 312.64 762.84 169.54 54.00 1916.63 11.01 10.32 758.65 236.28 14.58 83.47 27.27 30.91 312.82 42848 0.01 999.00 999.00 999.00 999.00 0.01
2218 2186553 251351 953599 321 9 6.00 0.00 0.00 0.00 0.00 1.00 0.00 10.00 0.00 3.00 8.00 0.00 0.00 22.00 0.00 0.00 0.00 0.00 238.26 65.35 55.59 0.00 27.98 26.23 10.03 63.99 29.65 24.38 33.99 37.98 18.46 272.69 0.00 0.00 607.97 200.44 3.35 26.99 13.93 12.48 48.99 32235 1180.61 452.75 508.11 0.00 213.82 102.59 79.18 310.50 419.36 130.29 136.48 167.73 109.95 1669.90 1.99 1.60 628.41 201.71 16.14 116.81 58.62 39.19 222.98 36856 0.04 999.00 999.00 999.00 999.00 0.01
2219 2169805 274714 49972 252 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 23.94 0.03 80.52 0.00 22.24 19.90 0.92 32.12 1.46 10.42 59.83 9.03 16.16 172.08 0.00 0.00 654.26 311.11 1.63 18.51 0.55 0.00 109.51 49913 247.36 8.72 494.09 0.00 138.19 122.74 8.46 246.95 16.60 97.70 252.51 48.11 56.47 987.73 2.31 2.20 659.73 298.76 8.95 42.59 3.30 0.19 398.00 48434 1.74 999.00 999.00 999.00 999.00 0.00
2220 2170844 274255 58 307 5 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 32.26 0.01 23.45 0.00 6.48 19.60 0.27 15.99 1.78 12.10 28.17 5.44 12.82 102.64 0.00 0.00 661.33 309.29 1.47 20.33 0.44 0.00 82.62 49124 319.74 5.73 294.72 0.00 82.74 129.29 6.35 177.60 19.84 133.44 193.02 47.18 67.85 857.31 3.91 3.71 669.72 295.85 9.39 46.77 3.84 0.36 373.01 47967 1.53 999.00 999.00 999.00 999.00 0.04
2221 2227432 266023 13641 540 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 32.33 180.69 172.41 0.00 26.77 86.38 0.72 52.25 116.12 124.13 94.44 30.10 25.43 556.33 0.00 0.00 0.00 0.00 1.82 14.17 5.43 2.53 82.70 38592 213.16 557.78 522.14 0.00 94.41 138.06 30.53 302.22 203.52 266.77 191.56 75.08 30.57 1332.72 0.00 0.00 0.00 0.00 8.42 38.64 10.19 7.60 330.48 43017 0.02 999.00 999.00 999.00 999.00 0.08
2222 2229575 259245 606144 548 2 33.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 179.35 5.08 0.24 0.00 1.03 0.23 22.11 7.80 19.64 14.63 14.23 4.01 0.60 84.27 0.00 0.00 0.00 0.00 4.53 22.63 2.41 0.03 123.28 37645 841.06 126.59 28.31 0.00 23.03 38.63 78.56 55.99 129.96 165.72 119.82 34.82 6.19 652.71 0.00 0.00 0.00 0.00 22.06 63.83 5.42 1.31 462.94 43146 1.16 999.00 999.00 999.00 999.00 0.03
2223 2235876 247633 311597 132 3 12.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 105.01 88.76 154.96 0.00 34.05 0.00 0.00 0.00 0.00 6.26 0.00 2.91 3.35 46.58 0.00 0.00 0.00 0.00 1.07 5.83 0.05 0.00 31.70 38807 400.57 368.30 642.97 0.00 141.28 0.76 0.00 0.11 0.20 26.67 1.59 12.32 14.02 196.93 0.00 0.00 0.00 0.00 6.05 15.94 0.56 0.00 132.52 47526 3.77 999.00 999.00 999.00 999.00 0.00
2224 2230371 255493 298425 548 8 22.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 165.18 13.92 0.00 0.00 1.40 0.10 0.02 1.84 42.63 8.87 0.27 5.82 2.00 62.95 0.00 0.00 0.00 0.00 2.48 9.93 0.35 0.00 91.17 50175 644.48 112.59 0.82 0.00 14.70 30.26 3.58 8.85 190.47 78.64 39.47 24.23 7.83 398.04 0.00 0.00 0.00 0.00 9.87 34.86 2.58 0.19 272.38 47478 1.79 999.00 999.00 999.00 999.00 0.01
2225 2241903 259233 16092518 133 5 217.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 0.00 5.00 0.00 15.00 0.00 0.00 0.00 0.00 219.15 0.01 0.00 0.00 0.00 0.00 0.00 0.12 0.00 10.01 0.00 5.21 0.00 15.35 0.00 0.00 0.00 0.00 1.73 3.95 0.05 0.00 65.01 56727 253.40 1.28 0.00 0.00 0.28 0.57 0.92 2.38 1.65 12.09 0.51 8.01 0.19 26.60 0.00 0.00 0.00 0.00 6.97 11.53 0.61 0.00 181.03 57625 4.25 999.00 999.00 999.00 999.00 0.00
2226 2239000 257377 583746 604 1 31.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 150.89 0.01 0.01 0.00 0.00 0.00 0.00 3.27 0.00 2.73 1.29 1.29 0.00 8.58 0.00 0.00 0.00 0.00 2.40 7.77 2.00 0.00 63.32 47951 449.49 1.71 0.90 0.00 0.34 0.41 0.20 17.32 0.26 20.92 7.20 7.06 0.30 54.02 0.00 0.00 0.00 0.00 10.99 23.14 3.84 0.00 229.69 50260 3.58 999.00 999.00 999.00 999.00 0.00
2227 2194325 249811 188642 429 7 7.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 323.13 26.18 0.18 0.00 2.85 6.78 0.01 2.06 34.32 11.79 17.56 13.06 0.82 89.25 0.00 0.00 0.00 0.00 2.85 32.82 5.06 1.67 98.36 41418 1328.67 254.28 23.64 1.18 41.27 67.68 4.60 23.85 215.22 85.16 106.25 107.15 21.64 672.84 0.00 0.00 0.00 0.00 16.73 116.97 21.36 15.22 379.30 37720 0.52 999.00 999.00 999.00 999.00 0.01
2228 2195559 247698 847081 455 2 15.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 6.00 0.00 6.00 0.00 0.00 0.00 0.00 129.50 19.94 0.82 0.00 3.44 2.29 0.04 0.53 6.37 7.65 2.32 19.19 1.91 43.74 0.00 0.00 0.00 0.00 1.93 11.81 3.89 0.49 39.09 31840 941.37 303.43 17.87 1.86 52.72 55.83 6.81 17.78 76.31 82.06 65.67 96.32 30.83 484.33 0.00 0.00 0.00 0.00 12.25 82.28 20.37 7.48 263.95 32289 0.67 999.00 999.00 999.00 999.00 0.03
2229 2194995 245761 598665 457 3 23.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 246.34 97.34 8.15 0.01 14.85 2.96 1.14 1.59 2.84 16.77 7.30 6.14 35.05 88.63 0.00 0.00 0.00 0.00 4.18 22.96 4.91 0.09 73.52 26319 1238.97 593.50 36.68 3.91 98.29 69.93 24.96 33.24 63.43 163.84 99.88 91.58 99.08 744.21 0.00 0.00 0.00 0.00 20.04 101.29 21.81 3.61 337.05 29259 0.96 999.00 999.00 999.00 999.00 0.03
2230 2196690 243763 523866 456 2 38.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 306.18 121.84 7.49 0.02 19.29 9.41 8.63 13.53 10.25 34.01 26.34 20.39 46.57 188.43 0.00 0.00 0.00 0.00 4.58 26.52 6.02 0.03 77.65 22258 1332.09 664.70 41.66 6.73 113.48 106.99 56.39 77.26 81.92 254.88 187.87 128.18 168.07 1175.03 0.00 0.00 0.00 0.00 22.27 103.29 24.62 2.00 345.83 27129 1.20 999.00 999.00 999.00 999.00 0.05
2231 2195281 241834 1082122 424 2 22.00 0.00 0.00 0.00 0.00 0.00 100.00 0.00 4.00 13.00 10.00 6.00 7.00 140.00 0.00 0.00 0.00 0.00 210.48 294.66 2.18 0.00 50.70 65.33 100.00 36.18 26.45 159.01 118.83 29.93 113.95 700.37 0.00 0.00 0.00 0.00 4.55 19.43 4.33 0.00 57.42 23718 1179.71 871.38 95.84 1.52 158.73 156.53 101.60 94.50 96.82 336.11 266.77 125.09 186.72 1522.86 0.00 0.00 0.00 0.00 21.48 95.45 17.87 0.47 333.96 27890 1.83 999.00 999.00 999.00 999.00 0.07
2232 2216727 254307 12867 764 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.57 0.01 0.00 0.00 0.07 10.06 0.00 1.34 4.37 6.86 6.23 0.72 3.49 33.13 0.00 0.00 0.00 0.00 0.01 2.32 0.11 0.01 4.16 31878 51.71 8.30 0.06 0.00 3.39 261.98 0.09 24.78 101.59 173.78 236.85 25.96 58.69 887.11 0.00 0.00 0.00 0.00 1.35 11.57 2.22 0.97 30.07 33710 1.27 999.00 999.00 999.00 999.00 0.12
2233 2262197 356600 778205 360 0 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 12.13 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.24 2.03 0.00 0.00 202.26 62457 25.77 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.96 2.63 0.00 0.00 698.72 62277 999.00 999.00 999.00 999.00 999.00 0.02
2234 2252227 343226 1146330 352 0 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.29 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.02 0.00 0.04 0.00 0.00 0.00 0.00 0.21 2.18 0.00 0.00 155.24 62480 30.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.53 0.01 0.26 0.06 0.87 0.00 0.00 0.00 0.00 1.63 5.34 0.01 0.00 523.25 62260 999.00 999.00 999.00 999.00 999.00 0.00
2235 2241671 339265 1454207 353 7 16.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 22.03 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 0.60 4.00 0.00 0.00 132.13 56161 37.93 0.00 0.00 0.00 0.00 0.00 0.00 5.03 0.00 0.00 0.00 0.00 0.00 5.03 0.00 0.00 0.00 0.00 2.52 7.79 0.00 0.00 358.78 55854 999.00 999.00 999.00 999.00 999.00 0.01
2236 2260025 331421 21883005 371 9 13.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 15.16 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.12 0.01 0.23 0.11 0.00 1.47 0.00 0.00 0.00 0.00 1.00 0.07 0.11 0.00 86.53 62365 32.28 0.00 0.00 0.00 0.00 0.00 0.00 0.32 5.45 0.39 2.03 1.18 0.15 9.52 0.00 0.00 0.00 0.00 1.16 1.22 0.57 0.00 299.05 62069 999.00 999.00 999.00 999.00 999.00 0.00
2237 2264014 332750 261522 371 7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 13.09 0.00 0.00 0.00 0.00 0.00 0.00 1.12 1.36 2.00 2.79 0.16 0.16 7.58 0.00 0.00 0.00 0.00 0.01 2.75 0.18 0.00 250.02 61671 67.14 0.00 0.00 0.00 0.00 0.00 0.00 8.91 5.87 2.17 7.66 2.09 2.19 28.89 0.00 0.00 0.00 0.00 0.36 5.26 1.11 0.00 790.40 61831 999.00 999.00 999.00 999.00 999.00 0.00
2238 2259506 326619 770897 367 2 11.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 28.32 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 5.07 2.04 0.01 1.52 8.65 0.00 0.00 0.00 0.00 1.25 2.47 0.00 0.00 69.63 62203 51.91 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.76 9.63 4.36 0.41 2.88 18.07 0.00 0.00 0.00 0.00 2.23 5.41 0.08 0.00 228.46 61910 999.00 999.00 999.00 999.00 999.00 0.00
2239 2269159 336482 14712148 611 5 30.00 0.00 0.00 0.00 0.00 0.00 0.00 26.00 0.00 0.00 0.00 0.00 8.00 34.00 0.00 0.00 0.00 0.00 47.87 0.00 0.00 0.00 0.00 0.00 0.00 27.01 0.01 0.04 7.04 0.00 8.00 42.10 0.00 0.00 0.00 0.00 0.00 1.86 0.91 0.00 292.62 61893 70.21 0.00 0.00 0.00 0.00 0.00 0.00 28.48 0.55 0.56 7.84 0.19 8.01 45.62 0.00 0.00 0.00 0.00 0.10 3.60 1.24 0.00 789.91 61729 999.00 999.00 999.00 999.00 999.00 0.00
2240 2173534 304443 1084853 522 2 11.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 17.25 0.00 0.00 0.00 0.00 0.06 0.00 0.07 0.20 0.15 0.13 0.34 0.01 0.96 0.00 0.00 0.00 0.00 1.47 3.25 0.07 0.00 51.11 60697 81.35 1.41 0.00 0.00 0.25 2.07 0.11 2.62 3.37 8.33 4.74 4.57 0.89 26.95 0.00 0.00 0.00 0.00 5.71 15.69 1.06 0.00 258.77 59147 5.99 999.00 999.00 999.00 999.00 0.00
2241 2169271 293245 591953 400 6 21.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 77.89 0.73 0.00 0.00 0.51 21.03 2.57 4.58 7.20 21.00 52.75 4.02 0.15 113.81 0.00 0.00 0.00 0.00 3.47 7.14 2.16 0.00 103.36 47209 315.70 41.29 0.00 0.00 9.53 65.01 31.87 22.64 27.82 88.37 119.54 23.70 3.51 391.99 0.00 0.00 0.00 0.00 11.83 28.54 5.39 0.00 392.80 54109 5.20 999.00 999.00 999.00 999.00 0.00
2242 2167639 288372 704575 400 1 22.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 135.26 0.00 0.00 0.00 0.00 0.00 0.11 0.32 2.93 1.61 4.20 1.25 0.33 10.77 0.00 0.00 0.00 0.00 0.10 8.55 1.24 0.00 134.48 61602 351.32 1.15 0.00 0.00 0.39 1.26 7.25 6.44 18.97 13.33 11.17 22.07 3.37 84.23 0.00 0.00 0.00 0.00 2.49 28.73 6.71 0.00 368.19 59762 4.72 999.00 999.00 999.00 999.00 0.00
2243 2203461 278397 5150414 447 3 10.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 40.00 27.00 0.00 67.00 0.00 0.00 0.00 0.00 27.04 0.00 0.00 0.02 0.00 0.08 0.00 0.52 0.01 1.46 40.04 27.03 0.11 69.27 0.00 0.00 0.00 0.00 2.15 8.07 0.13 0.00 69.10 53234 142.75 1.70 1.61 27.25 2.84 9.90 0.26 12.25 3.89 25.30 45.92 31.00 2.91 134.28 0.00 0.00 0.00 0.00 5.38 24.60 1.33 0.36 218.64 49716 1.30 999.00 999.00 999.00 999.00 0.00
2244 2207735 274598 854495 443 0 0.00 0.00 0.00 0.00 1.00 66.00 0.00 8.00 3.00 32.00 24.00 16.00 4.00 154.00 0.00 0.00 0.00 0.00 183.15 1.04 0.07 0.00 1.22 124.91 0.08 17.05 20.65 76.39 80.27 30.65 5.83 357.05 0.00 0.00 0.00 0.00 2.60 26.38 3.26 5.17 71.47 30377 932.67 51.61 3.83 4.69 11.62 262.37 7.56 129.25 129.62 300.15 198.62 88.61 35.81 1163.62 0.00 0.00 0.00 0.00 13.76 81.31 11.71 9.29 367.91 36175 0.02 999.00 999.00 999.00 999.00 0.15
2245 2174720 257678 211375 269 9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 15.00 0.00 0.00 0.00 0.00 0.00 15.00 0.00 0.00 0.00 0.00 405.44 190.12 11.47 144.13 71.14 819.90 298.09 2691.33 196.72 1076.08 241.61 226.48 63.98 5685.32 1447.65 1382.45 790.88 246.02 1.25 25.66 26.46 45.14 1.57 19099 1687.66 510.59 290.27 2493.21 494.11 1941.19 1091.07 4845.77 889.58 4565.89 707.97 841.53 280.59 15657.70 4209.92 3955.32 760.46 243.19 12.14 113.08 90.12 116.95 44.81 25097 0.08 999.00 999.00 999.00 999.00 0.53
2246 2173171 254327 507307 254 6 0.00 0.00 0.00 0.00 4.00 12.00 0.00 0.00 0.00 37.00 15.00 12.00 8.00 88.00 0.00 0.00 0.00 0.00 137.52 40.44 151.00 1.79 29.60 83.20 5.19 240.77 11.47 221.23 101.55 61.47 57.50 811.99 27.23 25.49 748.16 240.54 2.47 17.28 12.70 11.44 8.03 17537 686.61 312.05 761.70 304.26 195.39 540.28 181.30 1654.00 185.49 1131.19 403.73 306.85 154.25 4752.48 727.19 680.85 755.42 241.24 10.24 71.37 45.24 48.21 68.01 25640 0.16 999.00 999.00 999.00 999.00 0.27
2247 2188895 263599 107159 284 5 13.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 434.82 53.73 5.54 0.00 64.54 9.03 2.58 202.85 12.40 9.37 6.57 27.15 20.09 354.57 0.03 0.03 2214.94 116.10 3.00 28.87 16.24 19.87 78.96 23458 1344.29 318.02 47.22 10.96 203.29 49.47 25.46 660.89 494.80 116.03 61.97 98.73 79.93 1790.56 18.66 17.99 2187.35 123.01 11.43 97.96 46.76 52.29 294.60 30323 0.06 999.00 999.00 999.00 999.00 0.03
2248 2180853 259841 123256 289 6 14.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 7.00 0.00 7.00 0.00 0.00 0.00 0.00 276.74 47.32 109.82 885.44 145.79 39.48 71.81 34.95 2528.60 230.39 49.58 52.83 37.42 3190.86 604.49 576.37 2217.48 114.58 3.60 23.56 16.74 10.67 20.79 19625 946.80 317.57 651.31 5444.10 864.83 367.65 535.71 572.72 8306.86 1378.31 228.54 328.38 234.17 12817.17 2324.62 2232.87 1955.88 142.76 19.11 89.79 65.04 54.79 96.42 25332 0.19 999.00 999.00 999.00 999.00 0.05
2249 2173546 259748 642994 849 9 0.00 0.00 0.00 0.00 0.00 0.00 65.00 0.00 0.00 0.00 0.00 0.00 0.00 65.00 0.00 0.00 0.00 0.00 778.34 25.16 0.21 41.16 29.78 594.72 262.23 581.02 316.97 1513.99 156.34 196.28 42.86 3694.17 1250.55 1179.27 712.31 243.08 2.28 26.73 19.24 20.88 11.13 20961 1972.49 122.21 49.61 1395.05 259.84 1947.02 1065.46 2753.74 1036.79 6614.80 568.27 802.57 192.47 15240.96 4279.53 4054.56 733.50 251.38 9.60 89.21 70.76 77.94 76.68 31259 0.19 999.00 999.00 999.00 999.00 0.16
2250 2175030 260783 157564 223 3 46.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 110.00 0.00 2.00 4.00 116.00 0.00 0.00 0.00 0.00 535.03 20.54 4.53 557.87 109.76 1346.61 706.13 1100.01 656.09 4449.20 233.14 661.53 131.65 9394.13 2914.73 2723.34 689.06 260.10 1.12 23.38 45.43 46.18 9.38 26815 1819.15 195.34 214.23 4501.18 703.69 2939.40 1564.48 3315.02 1674.40 9632.98 692.24 1460.23 297.15 22279.59 6206.70 5836.08 728.04 256.41 11.53 107.34 114.69 114.18 93.41 26932 0.01 999.00 999.00 999.00 999.00 0.37
2251 2228368 319625 644842 569 3 26.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 111.46 0.00 0.00 0.00 0.00 1.43 1.13 0.01 0.00 6.60 0.38 2.72 1.13 13.42 0.00 0.00 0.00 0.00 0.78 14.30 3.77 0.00 110.50 43752 284.83 0.28 0.37 0.00 0.11 7.02 3.59 1.72 0.26 17.21 2.72 9.62 7.22 49.47 0.00 0.00 0.00 0.00 7.99 40.50 7.03 0.00 384.52 45948 12.78 999.00 999.00 999.00 999.00 0.02
2252 2225130 369450 2711330 687 0 15.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 32.38 0.01 0.00 0.00 0.00 0.55 0.00 45.30 0.00 18.13 61.26 0.00 0.22 125.46 0.00 0.00 0.00 0.00 0.50 3.89 0.34 0.00 131.80 57096 56.73 3.89 0.00 0.00 0.59 2.71 0.02 77.71 0.00 31.19 104.88 0.14 5.34 222.60 0.00 0.00 0.00 0.00 2.62 11.69 1.86 0.00 515.15 58585 999.00 999.00 999.00 999.00 999.00 0.00
2253 2225366 364386 12974869 637 3 34.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 34.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.15 0.00 0.00 71.40 62444 38.15 0.00 0.00 0.00 0.00 0.04 0.00 0.24 0.00 0.09 0.32 0.29 0.04 1.01 0.00 0.00 0.00 0.00 1.23 1.95 0.20 0.00 164.68 61564 999.00 999.00 999.00 999.00 999.00 0.00
2254 2192121 267814 104153 344 1 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.00 0.00 0.00 0.00 0.00 9.00 0.00 0.00 0.00 0.00 285.25 91.96 0.01 0.00 17.93 15.51 2.79 54.97 20.49 20.36 50.52 33.39 45.33 261.29 0.00 0.00 74.98 0.00 2.83 34.93 16.15 16.51 71.77 27979 867.46 334.15 3.20 0.00 98.98 36.83 23.60 339.10 107.57 92.47 154.51 89.73 136.01 1078.80 0.03 0.00 75.00 0.00 11.71 93.35 42.35 41.07 312.47 35793 0.01 999.00 999.00 999.00 999.00 0.06
2255 2192829 268017 192287 344 0 19.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 2.00 0.00 0.00 0.00 0.00 314.99 35.97 0.00 0.00 6.95 12.81 1.08 71.89 18.80 19.69 42.07 38.42 47.94 259.66 0.00 0.00 0.00 0.00 2.64 38.83 17.08 20.22 76.76 31930 870.77 230.95 2.34 0.00 66.26 32.40 18.27 295.24 93.41 74.28 132.11 85.22 118.61 915.79 0.00 0.00 0.00 0.00 11.87 94.22 41.74 45.40 345.45 39045 0.13 999.00 999.00 999.00 999.00 0.13
2256 2194089 268740 301372 344 0 24.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 5.00 0.00 0.00 0.00 0.00 311.05 6.87 0.00 0.00 1.33 7.60 0.27 109.58 14.17 17.14 27.55 36.69 23.86 238.20 0.00 0.00 0.00 0.00 2.02 29.94 17.99 23.04 100.57 36863 829.13 113.59 0.85 0.00 31.91 28.30 18.92 282.35 69.12 66.40 108.21 82.03 112.94 800.20 0.00 0.00 0.00 0.00 11.04 86.58 40.39 44.60 383.21 42828 0.01 999.00 999.00 999.00 999.00 0.02
2257 2190933 264126 150440 334 2 9.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 337.02 210.09 0.23 0.00 182.44 7.82 6.01 35.84 64.20 11.99 5.35 31.27 11.85 356.78 0.00 0.00 2221.00 115.88 2.46 36.41 11.54 11.73 88.57 28955 1157.59 472.46 18.39 0.00 244.36 35.37 20.37 316.64 402.01 63.82 57.60 97.06 70.01 1307.24 3.22 3.13 2238.58 121.00 12.32 106.98 41.03 46.05 337.48 35281 0.19 999.00 999.00 999.00 999.00 0.03
2258 2192028 263196 544930 334 8 20.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 269.02 17.26 0.20 0.00 99.15 4.05 1.01 12.23 36.00 5.29 2.59 17.11 4.07 181.50 0.00 0.00 2221.00 115.88 3.21 28.15 10.21 13.87 90.84 40454 1142.88 191.40 27.11 0.00 202.33 29.34 10.81 179.47 580.27 44.94 33.99 77.40 40.52 1199.06 2.55 2.47 2238.58 121.00 13.26 96.62 35.14 45.43 368.42 41384 0.10 999.00 999.00 999.00 999.00 0.01
2259 2163999 267259 4432695 251 8 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 4.99 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.03 0.00 0.03 0.00 2.06 0.00 0.00 0.00 0.00 1.02 0.36 0.00 0.00 62.06 54339 25.68 1.52 0.00 0.00 0.33 0.05 0.00 0.00 0.00 3.42 0.01 0.59 0.00 4.40 0.00 0.00 0.00 0.00 1.81 3.18 0.02 0.00 196.55 55816 4.21 999.00 999.00 999.00 999.00 0.00
