parcelid xcoord_p ycoord_p sqft_p taz_p lutype_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp hh_1 stugrd_1 stuhgh_1 stuuni_1 empedu_1 empfoo_1 empgov_1 empind_1 empmed_1 empofc_1 empret_1 empsvc_1 empoth_1 emptot_1 parkdy_1 parkhr_1 ppricdy1 pprichr1 nodes1_1 nodes3_1 nodes4_1 tstops_1 nparks_1 aparks_1 hh_2 stugrd_2 stuhgh_2 stuuni_2 empedu_2 empfoo_2 empgov_2 empind_2 empmed_2 empofc_2 empret_2 empsvc_2 empoth_2 emptot_2 parkdy_2 parkhr_2 ppricdy2 pprichr2 nodes1_2 nodes3_2 nodes4_2 tstops_2 nparks_2 aparks_2 dist_lbus dist_ebus dist_crt dist_fry dist_lrt dist_park
18 2188654 251636 628833 328 3 19.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 184.48 18.45 72.21 0.00 29.46 6.09 14.28 37.08 24.20 12.99 19.76 18.46 6.75 169.08 0.00 0.00 1212.42 159.64 2.27 27.52 10.12 3.42 65.76 38618 1000.96 262.58 520.99 0.00 210.43 52.59 87.25 168.36 464.60 96.23 88.08 112.04 56.15 1335.75 2.38 2.18 1587.65 140.48 12.14 99.43 48.81 27.38 225.70 39537 0.35 999.00 999.00 999.00 999.00 0.00
19 2169361 263809 3992900 306 4 3.00 0.00 0.00 0.00 0.00 0.00 0.00 452.00 0.00 31.00 15.00 0.00 7.00 505.00 0.00 0.00 0.00 0.00 13.51 0.00 0.60 0.01 0.14 3.59 25.19 682.93 1.68 46.51 23.48 11.71 12.75 807.96 0.42 0.40 665.24 304.80 1.24 5.34 0.32 0.09 52.40 36620 214.83 3.65 25.10 23.32 11.21 128.58 110.74 909.01 76.56 363.07 137.06 102.33 115.28 1953.83 97.07 91.83 683.91 282.96 5.06 30.56 7.28 3.72 204.03 41874 0.78 999.00 999.00 999.00 999.00 0.08
20 2167591 259001 2863978 250 6 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 20.00 0.00 20.00 0.00 0.00 0.00 0.00 1.34 0.00 0.02 0.00 0.00 0.00 1.00 2.56 46.12 0.08 0.01 20.56 0.99 71.32 0.00 0.00 659.69 326.72 0.09 4.58 1.02 0.00 145.44 55860 14.35 0.00 1.58 0.00 0.19 2.69 23.30 54.35 233.57 11.70 3.69 26.71 10.09 366.29 1.07 1.06 667.40 317.34 1.17 9.16 1.57 0.07 359.92 55168 2.02 999.00 999.00 999.00 999.00 0.00
21 2172921 267710 351577 240 1 27.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 476.77 0.38 4.00 0.12 3.80 143.59 8.32 164.29 294.30 464.07 125.35 137.81 588.07 1929.59 4.66 4.41 723.04 283.75 5.04 34.75 10.70 6.02 54.55 28449 1217.20 29.45 150.33 78.05 60.33 549.83 91.94 594.81 475.50 1393.91 438.68 434.97 709.43 4749.42 291.59 273.38 718.90 274.21 19.56 104.78 36.02 20.65 272.31 36701 0.05 999.00 999.00 999.00 999.00 0.03
22 2172994 268112 158293 240 9 57.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 15.00 2.00 0.00 6.00 0.00 28.00 0.00 0.00 0.00 0.00 438.51 0.27 2.98 0.08 2.82 120.14 6.10 129.29 259.02 448.04 97.66 114.18 523.59 1700.84 3.34 3.16 723.05 283.75 4.69 30.89 9.24 5.31 53.80 30078 1163.63 25.07 131.59 66.08 52.35 495.42 78.87 539.84 453.88 1335.00 393.97 395.99 696.86 4442.17 248.08 232.59 718.88 274.26 18.61 97.30 32.67 18.71 261.66 37307 0.10 999.00 999.00 999.00 999.00 0.03
23 2174818 278529 1369713 382 1 70.00 0.00 0.00 0.00 0.00 20.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 20.00 0.00 0.00 0.00 0.00 366.31 0.69 0.01 0.00 0.56 51.53 0.33 11.00 0.18 33.13 45.19 18.64 3.91 164.47 0.00 0.00 0.00 0.00 3.48 16.66 1.54 0.00 88.85 40452 1048.47 19.50 7.51 0.00 12.29 115.87 9.22 41.44 5.24 121.84 85.66 55.76 26.26 473.57 0.00 0.00 0.00 0.00 12.18 55.12 6.08 0.59 364.65 44870 1.43 999.00 999.00 999.00 999.00 0.02
24 2268115 340707 1979247 366 7 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 42.31 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.32 0.12 0.00 78.22 61743 62.86 0.00 0.00 0.00 0.00 0.00 0.00 0.28 0.00 0.03 0.06 0.00 0.08 0.44 0.00 0.00 0.00 0.00 1.03 1.74 0.58 0.00 334.84 60736 999.00 999.00 999.00 999.00 999.00 0.01
25 2273960 250054 22454989 117 0 17.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 39.52 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.03 2.00 2.04 0.00 0.00 0.00 0.00 0.21 0.53 0.00 0.00 122.71 61947 61.58 0.00 0.00 0.00 0.00 0.00 0.01 0.18 0.00 0.01 0.00 0.73 2.01 2.94 0.00 0.00 0.00 0.00 1.38 2.73 0.10 0.00 413.84 61411 13.42 999.00 999.00 999.00 999.00 0.00
26 2226736 285495 317177 364 2 15.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 167.91 144.25 708.44 0.00 126.30 8.88 0.01 4.18 4.73 24.83 9.23 12.84 1.77 192.76 0.00 0.00 0.00 0.00 1.75 13.27 1.29 0.00 110.41 39139 350.84 477.91 1206.00 0.00 234.87 29.87 0.32 10.42 10.09 47.83 26.64 31.93 3.18 395.15 0.00 0.00 0.00 0.00 9.83 31.13 3.61 0.00 397.34 46488 3.00 999.00 999.00 999.00 999.00 0.03
27 2247457 281540 4119118 818 9 13.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.00 2.00 5.00 0.00 0.00 0.00 0.00 14.54 0.00 39.14 0.00 5.38 0.07 0.00 0.04 0.05 0.24 0.29 3.02 2.00 11.08 0.00 0.00 0.00 0.00 1.09 0.75 0.00 0.00 66.85 61468 27.20 0.00 406.14 0.00 55.96 6.68 0.00 8.11 5.45 8.01 18.57 4.95 2.16 109.89 0.00 0.00 0.00 0.00 1.99 4.02 0.26 0.00 183.47 58505 5.28 999.00 999.00 999.00 999.00 0.00
