node_id,x,y
11058,2279172.8999833083,354107.68075873324
3865,2282954.3134484235,349070.1656718452
11161,2284269.1409644214,346991.2721317556
2160,2179532.5416860688,289314.0913785786
2158,2179804.958367093,290021.4955318376
2342,2179060.522392314,287915.8306679412
2674,2179471.655209886,289421.7614080807
2672,2179729.75337225,290082.8332048742
3059,2182439.485948053,289625.6718147425
3058,2182600.734610805,290067.2954023621
3174,2193520.3281579586,289122.7244603586
3175,2193830.831391482,290355.4493012185
3649,2167050.859459879,289535.4251576626
3650,2167404.8074408234,290258.5531203554
3734,2195168.846934154,289805.21460797795
3172,2195117.2498718197,289903.09632637637
3785,2254228.616853292,290249.4343379662
3786,2254329.8295080955,290603.5135997766
3414,2234403.156822753,288704.83475132845
3867,2233685.1584770936,291370.1451992749
4016,2199146.5869279094,289384.92656282755
3170,2199635.374773259,289974.83121163613
4180,2230073.821974891,289907.09019137284
2523,2230130.765457473,290227.926630202
32856,2205501.418905433,294243.48637425166
32857,2206075.9258944215,294561.5540774729
32853,2197489.5046822387,292098.3115748809
14485,2197392.625004646,292250.4357162805
33128,2204834.4603129593,294190.0432709678
12142,2196730.1930566183,292452.74459467665
4711,2164352.5813051267,289659.2044564358
4712,2165318.720233025,290073.3682908321
4713,2164353.30631602,289997.7312036893
6256,2164125.507635303,289628.56557142915
6253,2164092.7820207356,290050.5891785058
6255,2166677.907344094,289849.57926866587
6257,2167430.7373121497,289523.4447311077
6248,2167775.9034270747,290217.3973684639
6260,2161138.4568564934,289557.7912665134
6261,2161571.3899908634,289662.56466098
6262,2165962.752089909,289469.8230033904
6264,2165373.987661761,289414.8961780553
6265,2160400.810779691,289403.7044681717
6289,2168162.455999993,288349.05978181114
6292,2169349.6333822287,290108.03474959126
6314,2168439.2418023986,287670.26470151136
6317,2170111.2073105522,289818.42927579733
6528,2183231.05416502,289751.5902020563
6529,2182167.388309789,289620.0439762666
6530,2181447.5237118015,290324.60409245745
6531,2181561.344821114,289888.6282910767
6532,2185206.256447748,289555.0270681277
6523,2185588.8028823505,289991.0268427743
6533,2184794.0183730545,289897.781143425
6538,2184075.180015002,289237.270486695
6525,2184437.549239323,289978.8696510872
6540,2185340.5570767815,289188.37787830975
6526,2186034.8773442777,289925.1783958455
6527,2183762.053663984,289930.2128652419
6550,2179916.102166853,288296.92200331297
6499,2180983.928653725,291158.44238072104
7414,2210066.9883446256,289898.9143568189
7415,2210085.7273933715,290164.7936346332
7405,2209539.278087111,290065.6462181797
7428,2189827.431562148,289848.053149425
7426,2190574.881674795,289871.91559532285
