route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,blockname
1,305,133052020,DOWNTOWN,1,102,1:65,101
10A,305,133175020,AVONDALE,0,102,10A:01,101
10A,305,133184020,AVONDALE,0,102,10A:01,101
10A,305,133195020,AVONDALE,0,102,10A:01,101
10G,305,133302020,DOWNTOWN,1,102,10G:54,101
10G,305,133312020,DOWNTOWN,1,102,10G:54,101
10G,305,133323020,DOWNTOWN,1,102,10G:54,101
7,305,134675020,DOWNTOWN,1,102,7:51,101
1,58,133085070,ALTON PARK,0,107,1:04,101
1,58,133090070,ALTON PARK,0,107,1:03,101
1,58,133094070,ALTON PARK,0,107,1:03,101
1,58,133098070,ALTON PARK,0,107,1:03,101
1,58,133119070,DOWNTOWN,1,107,1:66,101
1,58,133124070,DOWNTOWN,1,107,1:65,101
1,58,133125070,DOWNTOWN,1,107,1:66,101
1,58,133130070,DOWNTOWN,1,107,1:66,101
10A,58,133232070,AVONDALE,0,107,10A:01,101
10A,58,133247070,DOWNTOWN,1,107,10A:52,101
10A,58,133251070,DOWNTOWN,1,107,10A:52,101
10G,58,133329070,GLENWOOD,0,107,10G:04,101
10G,58,133334070,GLENWOOD,0,107,10G:04,101
10G,58,133351070,DOWNTOWN,1,107,10G:54,101
1,305,133009020,ALTON PARK,0,302,1:04,1011
1,305,133015020,ALTON PARK,0,302,1:03,1011
1,305,132995020,ALTON PARK,0,1202,1:04,104
1,305,133040020,DOWNTOWN,1,1202,1:66,104
10A,305,133220020,DOWNTOWN,1,1202,10A:59,104
10C,305,133273020,CAMPBELL,0,1202,10C:07,104
1,58,133088070,ALTON PARK,0,1207,1:03,104
1,58,133128070,DOWNTOWN,1,1207,1:66,104
10A,58,133231070,AVONDALE,0,1207,10A:01,104
10G,58,133347070,DOWNTOWN,1,1207,10G:54,104
10G,58,133350070,DOWNTOWN,1,1207,10G:55,104
1,305,132998020,ALTON PARK,0,1302,1:03,105
1,305,133041020,DOWNTOWN,1,1302,1:66,105
10A,305,133186020,AVONDALE,0,1302,10A:01,105
