NodeID	ZoneID	XCoord	YCoord	Capacity	Cost
3241	442	2208874	274568	10000	0
4062	340	2185622	281065	10000	0
16016	462	2202854	247495	10000	0
15927	764	2216493	250344	10000	0
16034	864	2222102	246872	10000	0
15419	487	2219212	256345	10000	0
4054	442	2211533	276071	10000	0
3723	501	2193433	293857	10000	0
12181	679	2195195	291829	10000	0
