sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction                                                      
11,2,12,1,0
11,2,12,2,0
11,2,12,3,0
11,2,12,4,0
11,2,12,5,0
11,2,12,6,0
11,2,12,7,0
11,2,12,8,0.00003868
11,2,12,9,0.00773655
11,2,12,10,0.00008515
11,2,12,11,0.00566285
11,2,12,12,0.0000468
11,2,12,13,0.00388419
11,2,12,14,0.98093182
11,2,12,15,0.00161398
11,2,12,16,0
11,2,22,1,0
11,2,22,2,0
11,2,22,3,0
11,2,22,4,0
11,2,22,5,0
11,2,22,6,0
11,2,22,7,0
11,2,22,8,0.0000355
11,2,22,9,0.00700039
11,2,22,10,0.00008459
11,2,22,11,0.00572257
11,2,22,12,0.00004752
11,2,22,13,0.00388873
11,2,22,14,0.98160434
11,2,22,15,0.0016164
11,2,22,16,0
11,2,32,1,0
11,2,32,2,0
11,2,32,3,0
11,2,32,4,0
11,2,32,5,0
11,2,32,6,0
11,2,32,7,0
11,2,32,8,0.00003245
11,2,32,9,0.00646479
11,2,32,10,0.00008393
11,2,32,11,0.00567503
11,2,32,12,0.00004672
11,2,32,13,0.00389232
11,2,32,14,0.98218673
11,2,32,15,0.00161806
11,2,32,16,0
11,2,42,1,0
11,2,42,2,0
11,2,42,3,0
11,2,42,4,0
11,2,42,5,0
11,2,42,6,0
11,2,42,7,0
11,2,42,8,0.00002989
11,2,42,9,0.00598211
11,2,42,10,0.00008336
11,2,42,11,0.0057411
11,2,42,12,0.0000476
11,2,42,13,0.00389269
11,2,42,14,0.98260576
11,2,42,15,0.00161752
11,2,42,16,0
11,2,52,1,0
11,2,52,2,0
11,2,52,3,0
11,2,52,4,0
11,2,52,5,0
11,2,52,6,0
11,2,52,7,0
11,2,52,8,0.0000319
11,2,52,9,0.0062672
11,2,52,10,0.00008348
11,2,52,11,0.00565665
11,2,52,12,0.00004652
11,2,52,13,0.0038919
11,2,52,14,0.98240525
11,2,52,15,0.0016171
11,2,52,16,0
11,2,62,1,0
11,2,62,2,0
11,2,62,3,0
11,2,62,4,0
11,2,62,5,0
11,2,62,6,0
11,2,62,7,0
11,2,62,8,0.0000395
11,2,62,9,0.00779912
11,2,62,10,0.00008503
11,2,62,11,0.00567955
11,2,62,12,0.00004721
11,2,62,13,0.00388488
11,2,62,14,0.9808507
11,2,62,15,0.00161401
11,2,62,16,0
11,2,72,1,0
11,2,72,2,0
11,2,72,3,0
11,2,72,4,0.24146186
11,2,72,5,0.46368292
11,2,72,6,0.01000531
11,2,72,7,0.02554114
11,2,72,8,0.19338764
11,2,72,9,0.05250769
11,2,72,10,0.00964423
11,2,72,11,0.00376923
11,2,72,12,0
11,2,72,13,0
11,2,72,14,0
11,2,72,15,0
11,2,72,16,0
11,2,82,1,0
11,2,82,2,0
11,2,82,3,0.00002309
11,2,82,4,0.37723529
11,2,82,5,0.33877093
11,2,82,6,0.003745
11,2,82,7,0.03737696
11,2,82,8,0.22785178
11,2,82,9,0.00204262
11,2,82,10,0.01101828
11,2,82,11,0.00193608
11,2,82,12,0
11,2,82,13,0
11,2,82,14,0
11,2,82,15,0
11,2,82,16,0
11,2,92,1,0
11,2,92,2,0
11,2,92,3,0.00002356
11,2,92,4,0.31936449
11,2,92,5,0.39219803
11,2,92,6,0.0063349
11,2,92,7,0.02766291
11,2,92,8,0.22237147
11,2,92,9,0.01889258
11,2,92,10,0.01045107
11,2,92,11,0.00270099
11,2,92,12,0
11,2,92,13,0
11,2,92,14,0
11,2,92,15,0
11,2,92,16,0
11,2,102,1,0
11,2,102,2,0
11,2,102,3,0
11,2,102,4,0
11,2,102,5,0
11,2,102,6,0
11,2,102,7,0
11,2,102,8,0.00003909
11,2,102,9,0.00772788
11,2,102,10,0.00008177
11,2,102,11,0.00542394
11,2,102,12,0.00004483
11,2,102,13,0.60308057
11,2,102,14,0.38360196
11,2,102,15,0
11,2,102,16,0
11,2,112,1,0
11,2,112,2,0
11,2,112,3,0
11,2,112,4,0
11,2,112,5,0
11,2,112,6,0
11,2,112,7,0
11,2,112,8,0.00003652
11,2,112,9,0.0072206
11,2,112,10,0.00008008
11,2,112,11,0.00533942
11,2,112,12,0.01009648
11,2,112,13,0.7686196
11,2,112,14,0.20860727
11,2,112,15,0
11,2,112,16,0
11,2,122,1,0
11,2,122,2,0
11,2,122,3,0
11,2,122,4,0
11,2,122,5,0
11,2,122,6,0
11,2,122,7,0
11,2,122,8,0.00003727
11,2,122,9,0.00736108
11,2,122,10,0.0000789
11,2,122,11,0.00524344
11,2,122,12,0.17464535
11,2,122,13,0.6698578
11,2,122,14,0.14277622
11,2,122,15,0
11,2,122,16,0
11,2,132,1,0
11,2,132,2,0
11,2,132,3,0
11,2,132,4,0
11,2,132,5,0
11,2,132,6,0
11,2,132,7,0
11,2,132,8,0.00016024
11,2,132,9,0.00740207
11,2,132,10,0.00007813
11,2,132,11,0.00517053
11,2,132,12,0.2923328
11,2,132,13,0.58820397
11,2,132,14,0.10665228
11,2,132,15,0
11,2,132,16,0
11,2,142,1,0
11,2,142,2,0
11,2,142,3,0
11,2,142,4,0
11,2,142,5,0
11,2,142,6,0
11,2,142,7,0
11,2,142,8,0.00015456
11,2,142,9,0.00714188
11,2,142,10,0.00007678
11,2,142,11,0.00508577
11,2,142,12,0.43734726
11,2,142,13,0.4879193
11,2,142,14,0.06227447
11,2,142,15,0
11,2,142,16,0
11,2,152,1,0
11,2,152,2,0
11,2,152,3,0
11,2,152,4,0
11,2,152,5,0
11,2,152,6,0
11,2,152,7,0
11,2,152,8,0.000146
11,2,152,9,0.00674901
11,2,152,10,0.00007267
11,2,152,11,0.28216088
11,2,152,12,0.44417286
11,2,152,13,0.2570484
11,2,152,14,0.00965011
11,2,152,15,0
11,2,152,16,0
11,2,162,1,0
11,2,162,2,0
11,2,162,3,0
11,2,162,4,0
11,2,162,5,0
11,2,162,6,0
11,2,162,7,0
11,2,162,8,0.00023255
11,2,162,9,0.02576163
11,2,162,10,0.57616812
11,2,162,11,0.12783656
11,2,162,12,0.24879694
11,2,162,13,0.02120421
11,2,162,14,0
11,2,162,15,0
11,2,162,16,0
11,2,172,1,0
11,2,172,2,0.22431663
11,2,172,3,0.4695017
11,2,172,4,0.00402887
11,2,172,5,0.08612783
11,2,172,6,0.06275342
11,2,172,7,0.00398984
11,2,172,8,0.01071687
11,2,172,9,0
11,2,172,10,0.03839155
11,2,172,11,0.05682906
11,2,172,12,0.03971098
11,2,172,13,0.00036726
11,2,172,14,0.00305821
11,2,172,15,0.00020784
11,2,172,16,0
11,2,182,1,0
11,2,182,2,0.1749045
11,2,182,3,0.51042837
11,2,182,4,0.00649368
11,2,182,5,0.07312417
11,2,182,6,0.07766139
11,2,182,7,0.00324915
11,2,182,8,0.01189502
11,2,182,9,0
11,2,182,10,0.0341369
11,2,182,11,0.05911364
11,2,182,12,0.04507571
11,2,182,13,0.00054161
11,2,182,14,0.00316117
11,2,182,15,0.00021484
11,2,182,16,0
11,2,192,1,0
11,2,192,2,0
11,2,192,3,0.51401371
11,2,192,4,0.14218317
11,2,192,5,0
11,2,192,6,0.15726736
11,2,192,7,0.00639398
11,2,192,8,0.0126136
11,2,192,9,0.00309796
11,2,192,10,0.00900663
11,2,192,11,0.07631458
11,2,192,12,0.0686769
11,2,192,13,0.00642558
11,2,192,14,0.00335198
11,2,192,15,0.00065449
11,2,192,16,0
11,2,202,1,0
11,2,202,2,0
11,2,202,3,0
11,2,202,4,0
11,2,202,5,0
11,2,202,6,0
11,2,202,7,0
11,2,202,8,0.00004254
11,2,202,9,0.00840786
11,2,202,10,0.00008482
11,2,202,11,0.00559575
11,2,202,12,0.00004631
11,2,202,13,0.21197623
11,2,202,14,0.77384645
11,2,202,15,0
11,2,202,16,0
11,2,212,1,0
11,2,212,2,0
11,2,212,3,0
11,2,212,4,0
11,2,212,5,0
11,2,212,6,0
11,2,212,7,0
11,2,212,8,0.00004232
11,2,212,9,0.00836607
11,2,212,10,0.00008564
11,2,212,11,0.0056417
11,2,212,12,0.00004656
11,2,212,13,0.06355071
11,2,212,14,0.92226696
11,2,212,15,0
11,2,212,16,0
11,2,222,1,0
11,2,222,2,0
11,2,222,3,0
11,2,222,4,0
11,2,222,5,0
11,2,222,6,0
11,2,222,7,0
11,2,222,8,0.00004436
11,2,222,9,0.00876599
11,2,222,10,0.00008634
11,2,222,11,0.005664
11,2,222,12,0.00004684
11,2,222,13,0.02473585
11,2,222,14,0.95970452
11,2,222,15,0.00095211
11,2,222,16,0
11,2,232,1,0
11,2,232,2,0
11,2,232,3,0
11,2,232,4,0
11,2,232,5,0
11,2,232,6,0
11,2,232,7,0
11,2,232,8,0.00004484
11,2,232,9,0.00885006
11,2,232,10,0.00008678
11,2,232,11,0.00568787
11,2,232,12,0.000047
11,2,232,13,0.00589576
11,2,232,14,0.9777751
11,2,232,15,0.0016126
11,2,232,16,0
11,2,242,1,0
11,2,242,2,0
11,2,242,3,0
11,2,242,4,0
11,2,242,5,0
11,2,242,6,0
11,2,242,7,0
11,2,242,8,0.00004423
11,2,242,9,0.00876649
11,2,242,10,0.00008648
11,2,242,11,0.00567028
11,2,242,12,0.0000468
11,2,242,13,0.00388089
11,2,242,14,0.97989231
11,2,242,15,0.00161255
11,2,242,16,0
11,3,12,1,0
11,3,12,2,0
11,3,12,3,0
11,3,12,4,0
11,3,12,5,0.00362021
11,3,12,6,0.0028188
11,3,12,7,0.0384213
11,3,12,8,0.10552431
11,3,12,9,0.09895088
11,3,12,10,0.37069523
11,3,12,11,0.20514153
11,3,12,12,0.12000813
11,3,12,13,0.05481959
11,3,12,14,0
11,3,12,15,0
11,3,12,16,0
11,3,22,1,0
11,3,22,2,0
11,3,22,3,0
11,3,22,4,0
11,3,22,5,0.00349182
11,3,22,6,0.00278719
11,3,22,7,0.0373794
11,3,22,8,0.10750993
11,3,22,9,0.09831723
11,3,22,10,0.36986133
11,3,22,11,0.2058194
11,3,22,12,0.11990757
11,3,22,13,0.05492608
11,3,22,14,0
11,3,22,15,0
11,3,22,16,0
11,3,32,1,0
11,3,32,2,0
11,3,32,3,0
11,3,32,4,0
11,3,32,5,0.00338554
11,3,32,6,0.00273633
11,3,32,7,0.03792135
11,3,32,8,0.10653279
11,3,32,9,0.09806675
11,3,32,10,0.36883858
11,3,32,11,0.20714991
11,3,32,12,0.11997289
11,3,32,13,0.05539589
11,3,32,14,0
11,3,32,15,0
11,3,32,16,0
11,3,42,1,0
11,3,42,2,0
11,3,42,3,0
11,3,42,4,0
11,3,42,5,0.00338619
11,3,42,6,0.00277984
11,3,42,7,0.03795496
11,3,42,8,0.10684367
11,3,42,9,0.09920806
11,3,42,10,0.36865473
11,3,42,11,0.20631851
11,3,42,12,0.11960422
11,3,42,13,0.05524987
11,3,42,14,0
11,3,42,15,0
11,3,42,16,0
11,3,52,1,0
11,3,52,2,0
11,3,52,3,0
11,3,52,4,0
11,3,52,5,0.00352091
11,3,52,6,0.00276763
11,3,52,7,0.03847365
11,3,52,8,0.10547624
11,3,52,9,0.09844726
11,3,52,10,0.3711201
11,3,52,11,0.20544858
11,3,52,12,0.12014797
11,3,52,13,0.05459765
11,3,52,14,0
11,3,52,15,0
11,3,52,16,0
11,3,62,1,0
11,3,62,2,0
11,3,62,3,0
11,3,62,4,0.00009153
11,3,62,5,0.003671
11,3,62,6,0.00361423
11,3,62,7,0.03904729
11,3,62,8,0.10653313
11,3,62,9,0.10107009
11,3,62,10,0.37173554
11,3,62,11,0.20529109
11,3,62,12,0.11653939
11,3,62,13,0.05240666
11,3,62,14,0
11,3,62,15,0
11,3,62,16,0
11,3,72,1,0
11,3,72,2,0
11,3,72,3,0
11,3,72,4,0.01098593
11,3,72,5,0.03846079
11,3,72,6,0.04291963
11,3,72,7,0.02218491
11,3,72,8,0.06334325
11,3,72,9,0.13645731
11,3,72,10,0.22690433
11,3,72,11,0.29432282
11,3,72,12,0.10182474
11,3,72,13,0.06156799
11,3,72,14,0.00102833
11,3,72,15,0
11,3,72,16,0
11,3,82,1,0
11,3,82,2,0.01981424
11,3,82,3,0.00770196
11,3,82,4,0.02185812
11,3,82,5,0.08671276
11,3,82,6,0.04602651
11,3,82,7,0.03611628
11,3,82,8,0.06087518
11,3,82,9,0.1372374
11,3,82,10,0.23148286
11,3,82,11,0.24667126
11,3,82,12,0.0775748
11,3,82,13,0.02728976
11,3,82,14,0.00063892
11,3,82,15,0
11,3,82,16,0
11,3,92,1,0
11,3,92,2,0
11,3,92,3,0.01000478
11,3,92,4,0.02153941
11,3,92,5,0.04254832
11,3,92,6,0.04889778
11,3,92,7,0.05936809
11,3,92,8,0.06491572
11,3,92,9,0.12685621
11,3,92,10,0.23478475
11,3,92,11,0.27093771
11,3,92,12,0.08430962
11,3,92,13,0.03508151
11,3,92,14,0.00075599
11,3,92,15,0
11,3,92,16,0
11,3,102,1,0
11,3,102,2,0
11,3,102,3,0
11,3,102,4,0.00125829
11,3,102,5,0.00285299
11,3,102,6,0.00886778
11,3,102,7,0.04854105
11,3,102,8,0.10029111
11,3,102,9,0.1254992
11,3,102,10,0.37416106
11,3,102,11,0.20256524
11,3,102,12,0.09903674
11,3,102,13,0.03692656
11,3,102,14,0
11,3,102,15,0
11,3,102,16,0
11,3,112,1,0
11,3,112,2,0
11,3,112,3,0
11,3,112,4,0.0014347
11,3,112,5,0.0027112
11,3,112,6,0.01152427
11,3,112,7,0.04742196
11,3,112,8,0.09998638
11,3,112,9,0.13103209
11,3,112,10,0.37403506
11,3,112,11,0.19932531
11,3,112,12,0.09718469
11,3,112,13,0.03534427
11,3,112,14,0
11,3,112,15,0
11,3,112,16,0
11,3,122,1,0
11,3,122,2,0
11,3,122,3,0
11,3,122,4,0.00151977
11,3,122,5,0.00266046
11,3,122,6,0.01475572
11,3,122,7,0.04635952
11,3,122,8,0.09899276
11,3,122,9,0.13792296
11,3,122,10,0.37266332
11,3,122,11,0.19690709
11,3,122,12,0.09431507
11,3,122,13,0.0339033
11,3,122,14,0
11,3,122,15,0
11,3,122,16,0
11,3,132,1,0
11,3,132,2,0
11,3,132,3,0
11,3,132,4,0.00160738
11,3,132,5,0.00258999
11,3,132,6,0.01670006
11,3,132,7,0.0460118
11,3,132,8,0.09805949
11,3,132,9,0.14298072
