MZ_ID,TAZ_ID,STATE,STATEFP10,COUNTY,COUNTYFP10,GEOID10_tract,TRACTCE10,GEOID10_block,BLOCKCE10,PUMA2000,PUMACE2010,AFFGEOID10,GEOID10_PUMA10,Region
1490401011116,149,GA,13,Dade,83,13083040101,40101,130830000000000,1116,100,2600,7950000US1302600,1302600,1
641,1003,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
3460102022017,346,TN,47,Hamilton,65,47065010202,10202,470650000000000,2017,1900,2003,7950000US4702003,4702003,1
644,1005,,13,External,83,13083040101,,,,100,2600,7950000US1302600,1302600,1
669,1006,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
646,1007,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
648,1008,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
647,1009,,13,External,83,13083040101,,,,100,2600,7950000US1302600,1302600,1
650,1010,,13,External,,,,,,100,2600,7950000US1302600,1302600,1
651,1011,,13,External,295,13295020502,,,,100,2600,7950000US1302600,1302600,1
652,1012,,13,External,295,13295020502,,,,100,2600,7950000US1302600,1302600,1
654,1013,,13,External,295,13295020601,,,,100,2600,7950000US1302600,1302600,1
653,1014,,13,External,295,13295020601,,,,100,2600,7950000US1302600,1302600,1
655,1015,,13,External,,,,,,100,2600,7950000US1302600,1302600,1
656,1016,,13,External,295,13295020400,,,,100,2600,7950000US1302600,1302600,1
645,1017,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
657,1018,,13,External,,,,,,200,2700,7950000US1302700,1302700,1
658,1019,,13,External,,,,,,100,2600,7950000US1302600,1302600,1
660,1020,,13,External,,,,,,200,2700,7950000US1302700,1302700,1
659,1021,,13,External,,,,,,200,2700,7950000US1302700,1302700,1
661,1022,,13,External,,,,,,200,2700,7950000US1302700,1302700,1
662,1023,,13,External,,,,,,200,2700,7950000US1302700,1302700,1
663,1024,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
664,1025,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
665,1026,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
666,1027,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
642,1028,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
667,1029,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
678,1002,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
668,1030,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
670,1031,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
677,1032,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
671,1033,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
672,1034,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
673,1035,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
674,1036,,47,External,,,,,,1700,1900,7950000US4701900,4701900,1
675,1037,,47,External,,,,,,2000,2100,7950000US4702100,4702100,1
3090008001008,309,TN,47,Hamilton,65,47065000800,800,470650000000000,1008,1800,2002,7950000US4702002,4702002,1
3270013002029,327,TN,47,Hamilton,65,47065001300,1300,470650000000000,2029,1800,2001,7950000US4702001,4702001,1
3280013002028,328,TN,47,Hamilton,65,47065001300,1300,470650000000000,2028,1800,2001,7950000US4702001,4702001,1
3270013001051,327,TN,47,Hamilton,65,47065001300,1300,470650000000000,1051,1800,2001,7950000US4702001,4702001,1
3270013002042,327,TN,47,Hamilton,65,47065001300,1300,470650000000000,2042,1800,2001,7950000US4702001,4702001,1
