parcelid xcoord_p ycoord_p sqft_p taz_p block_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp
64 2179829.618 257172 85511 263 2 0 0 0 0 0 0 14 0 0 15 0 0 0 29 0 0 0 0
65 2181303.978 259384 425845 285 7 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
66 2184250.971 257348 151259 723 9 0 0 0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0
67 2194329.576 260070 327191 336 9 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
68 2193278.187 257143 285428 337 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
69 2213671.848 275236 219746 887 4 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
70 2213721.685 259370 4722782 866 6 39 0 0 0 0 0 4 0 0 0 0 7 0 11 0 0 0 0
71 2214521.177 261460 2364643 865 6 48 0 0 0 0 0 0 0 0 14 0 0 0 14 0 0 0 0
72 2191401.313 262608 314017 334 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
73 2197604.156 276800 268524 341 9 8 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0
74 2212491.305 271942 2345161 888 1 0 0 0 0 0 0 0 85 7 308 205 51 3 659 0 0 0 0
75 2211855.22 273707 316153 442 4 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 2215538.962 273714 508975 440 8 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
77 2222889.791 270748 3963337 743 5 0 0 0 0 0 0 26 399 0 0 0 0 0 425 0 0 0 0
78 2216049.431 276313 479705 374 1 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
79 2171919.595 275445 4462892 382 9 122 0 0 0 0 0 0 19 0 0 40 4 50 113 0 0 0 0
80 2186554.424 255696 80776 324 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
81 2184151.727 257122 73285 317 5 0 0 0 0 0 0 0 0 1 11 3 0 0 15 0 0 0 0
82 2181236.994 256171 5274755 298 6 0 0 0 0 0 0 0 0 0 0 0 14 0 14 0 0 0 0
