ID LINKS XCOORD_P YCOORD_P
17364 3 2129528 207379
17366 3 2127707 209750
17367 1 2127814 210442
17365 1 2128403 207027
17061 3 2127319 214971
17183 2 2127512 214815
17269 2 2128323 215635
17270 3 2128223 215820
17310 3 2128016 214214
17311 1 2128948 214295
17378 2 2128681 216413
17184 2 2126311 213422
17185 1 2127158 213612
17312 1 2128015 213715
17374 2 2127957 215579
17182 3 2129685 217583
17271 1 2128398 215505
17291 1 2116633 221591
17172 3 2123236 222218
16471 3 2124902 221306
16469 3 2126398 222865
16468 4 2126027 222124
16477 2 2128791 225462
16799 3 2125178 222265
16801 3 2126226 223006
16800 3 2124700 221433
17176 3 2125915 220121
17178 1 2125518 220367
17180 3 2125897 219703
17220 1 2124978 220983
17168 3 2123819 223201
16802 3 2125188 222178
17295 3 2127451 222237
17225 3 2128465 224267
17358 1 2124923 220611
17357 3 2125896 221512
17361 1 2129317 223463
17360 3 2129540 223774
17362 3 2128947 224229
17363 1 2130363 223585
17084 3 2123656 222217
17293 3 2122879 220094
17292 2 2122423 220092
17294 1 2122006 220723
17399 1 2122433 218716
16798 4 2125098 222177
17167 1 2124862 223188
17221 1 2126994 220225
17058 3 2126339 222104
17296 1 2128844 222838
17177 2 2125894 220660
17057 3 2127245 222083
17179 1 2125889 219459
17055 3 2126216 222103
17359 1 2130037 223445
17226 1 2127626 224619
17227 3 2128626 226579
17159 3 2128908 225328
17155 3 2129543 225947
17163 1 2129913 225221
17160 3 2129394 225273
17166 1 2130470 224223
16807 2 2129451 236288
16941 1 2127342 238427
16651 1 2127435 238443
16473 2 2129069 237021
16650 2 2127767 237920
16804 2 2128212 237016
16940 2 2127635 237909
16803 2 2128640 236684
2073 4 2209036 270860
2071 3 2208721 270930
2079 3 2209221 268048
2003 3 2208474 270401
2612 3 2209031 270813
2077 4 2208467 270928
2623 3 2209182 268015
2613 3 2208418 270378
3242 3 2208264 274498
3241 3 2208874 274568
4104 2 2209380 263597
3488 3 2208799 263673
7479 3 2208088 288332
7480 1 2208979 288365
7518 4 2208031 287625
7519 1 2209529 288366
7798 3 2206684 279013
7773 3 2209030 279272
7851 4 2209053 277158
7852 3 2207674 277168
7876 3 2208097 276622
7886 3 2208724 276441
7923 3 2209363 275821
7983 3 2208738 274760
7984 1 2209146 275742
8037 3 2208375 273789
8033 4 2208826 273832
8053 3 2208694 273551
8066 3 2209135 273347
8077 3 2208567 273273
8245 4 2208751 271316
8157 3 2208703 272459
11835 2 2206895 279182
12078 1 2208915 287421
12205 2 2209285 257656
12206 2 2208643 259664
13714 3 2208254 267712
13715 1 2209021 267995
3451 3 2209073 267071
13791 3 2208627 267424
14976 2 2209182 234832
14977 2 2209103 235020
15103 2 2207607 246449
15104 2 2210062 247303
15269 2 2209272 234447
15270 2 2209141 234748
15428 2 2207864 246604
15429 2 2210032 247353
15534 3 2191191 194423
15517 3 2191143 194462
15871 3 2208748 251980
15864 3 2209129 252282
16273 2 2209417 239773
16271 2 2208598 239970
15953 3 2208855 249859
15943 3 2209193 249978
16577 4 2209186 228880
16578 2 2209525 229258
16866 3 2209159 228909
16864 3 2209492 229276
33042 3 2259238 210310
33043 1 2258971 210305
17418 4 2158494 193982
17419 3 2158511 194219
17831 3 2157881 194164
17836 3 2164802 193736
17827 3 2165352 195392
17837 1 2163518 194291
17839 3 2171938 193202
17840 3 2170719 194999
17844 3 2184104 193656
17845 1 2185474 194660
17854 3 2187074 192943
17855 1 2186248 196231
17856 3 2188538 192972
18063 1 2188528 194738
17829 3 2157514 194314
18131 1 2150490 193422
18132 3 2146498 195166
17843 2 2183095 193813
18333 3 2181042 195512
17833 3 2159759 193801
18462 2 2159896 194300
18576 3 2210008 157325
18575 3 2209640 157431
18579 1 2209783 156876
18583 3 2209076 157733
18584 1 2210213 157971
18685 3 2155763 194092
18686 1 2155714 194299
17489 3 2209972 156186
18863 2 2209766 156417
18808 3 2145713 194058
18895 2 2146103 194545
17079 2 2137026 193254
18948 3 2143998 194328
19342 3 2209435 228533
19362 3 2208777 227610
19363 3 2209202 227705
19376 3 2208613 227146
19367 3 2209219 227406
19392 3 2208507 226858
19387 3 2209531 226968
19404 3 2207627 226396
19405 1 2209830 226436
19415 1 2210043 225935
19414 3 2208664 226055
19558 1 2227931 194331
19559 3 2225383 194728
19569 1 2250307 194363
19035 3 2251801 195058
19686 1 2209967 161937
19687 3 2209524 162043
19572 3 2246696 193859
19556 3 2246511 195983
19722 3 2256276 194592
19723 4 2257323 196142
19459 3 2210912 224606
19441 3 2208278 225255
18927 2 2208081 182856
19839 3 2209759 182888
19857 3 2221311 194386
19858 4 2220591 196124
19861 3 2220849 194463
19721 3 2204398 194096
19869 3 2203927 194799
20001 1 2208301 232306
20002 3 2209184 232440
20007 3 2209065 232687
20018 1 2216373 194406
20019 3 2214965 194791
20021 1 2209669 181013
20022 3 2209106 181278
20059 3 2209039 234751
19128 3 2209455 235533
20061 3 2210009 183422
18319 2 2208109 183432
19500 3 2207880 199090
20123 3 2211227 201010
20148 1 2252127 194424
20198 3 2225313 194454
20305 2 2199822 194151
19527 3 2199826 194832
20442 1 2256161 195555
20448 1 2254000 194496
20171 3 2254683 196353
20529 3 2209874 162242
20530 1 2209406 163283
19831 3 2209554 173142
20566 1 2209911 177560
20567 3 2210864 172992
19821 3 2210358 167288
20393 3 2208979 168172
19788 2 2223186 194432
20623 3 2223466 194744
