PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
93	0.362370	0.115227	-8.455318	0.000000	-4.605170	-267.693040
94	-0.391401	-32.134452	-8.455318	0.000000	-4.605170	-267.693040
95	-5.298317	-284.329261	-6.396930	0.000000	0.000000	-69.506736
96	-0.330777	-5.939169	-6.214608	0.000000	0.000000	-79.623315
97	-0.477394	1.284125	-6.214608	0.000000	-5.298317	-308.539005
98	-0.095666	-46.639049	-8.188689	0.000000	-5.703782	-297.734516
99	-1.798792	-67.485982	-6.551080	0.000000	-4.605170	-291.180970
100	-0.843670	-1.160238	-4.605170	0.000000	0.000000	-68.238221
101	-1.798792	-90.756378	-6.551080	0.000000	-4.605170	-291.180970
102	-0.055822	-0.943495	-5.298317	0.000000	0.000000	-52.302448
103	-5.703782	-277.829749	-5.298317	0.000000	-4.605170	-52.630952
104	-5.703782	-245.172622	-5.298317	0.000000	0.000000	-53.100954
105	-5.298317	-203.320627	-5.298317	0.000000	0.000000	-60.560357
106	0.385535	-6.065071	-5.991465	0.000000	0.000000	-66.018891
107	-0.019456	-0.241332	-9.082507	0.000000	0.000000	-262.392729
108	-1.060910	-38.757571	-9.082507	0.000000	0.000000	-262.392729
109	0.011105	1.552887	-7.244228	0.000000	0.000000	-78.845907
110	0.033188	0.734772	-6.684612	0.000000	0.000000	-62.514238
111	-1.307882	-57.364621	-7.313220	0.000000	-6.214608	-314.855864
112	-1.307882	-57.364621	-7.313220	0.000000	-6.214608	-314.855864
113	-1.460292	-41.324705	-7.313220	0.000000	0.000000	-67.596607
114	-1.460292	-41.324705	-7.313220	0.000000	0.000000	-67.596607
115	-1.223903	-38.175743	-6.214608	0.000000	0.000000	-259.828691
116	-1.118543	-31.104803	-7.740664	0.000000	-4.605170	-264.693280
117	-0.701746	-1.511221	-7.313220	0.000000	-6.214608	-314.855864
118	-0.867228	-0.634985	-7.740664	0.000000	-4.605170	-264.693280
119	-0.151472	-3.027735	-7.824046	0.000000	-4.605170	-290.094687
120	-0.151472	-0.405450	-7.824046	0.000000	-4.605170	-290.094687
121	-0.063990	0.201849	-7.972466	0.000000	-4.605170	-294.540298
122	0.125652	1.332536	-8.517193	0.000000	-5.298317	-68.970593
123	-6.684612	-311.720455	-5.991465	0.000000	-4.605170	-259.862004
124	-0.924662	-11.267110	-5.298317	0.000000	0.000000	-61.302067
125	0.461632	0.142104	-5.298317	0.000000	0.000000	-61.302067
126	0.073865	-3.036020	-6.396930	0.000000	0.000000	-54.422711
127	1.103249	-26.258549	-8.039157	0.000000	-5.703782	-338.471066
128	0.000000	-62.146080	-5.298317	0.000000	-4.605170	-67.130457
129	0.161640	1.406837	-8.039157	0.000000	-5.703782	-338.471066
130	0.223397	1.013181	-8.131531	0.000000	0.000000	-61.861911
131	-0.739415	-30.360175	-7.972466	0.000000	-5.703782	-294.515775
132	1.460983	1.377986	-8.455318	0.000000	-4.605170	-267.693040
133	-0.087293	0.804279	-5.298317	0.000000	0.000000	-255.895009
134	0.115510	1.940857	-6.551080	0.000000	-4.605170	-65.648954
135	-1.134728	-76.203959	-7.313220	0.000000	-4.605170	-265.704186
136	-1.859063	-88.707112	-7.549609	0.000000	-4.605170	-268.252235
137	-4.605170	-174.151314	-6.684612	0.000000	-4.605170	-261.609842
138	-5.298317	-284.329261	-6.396930	0.000000	0.000000	-69.506736
139	-0.593173	0.395796	-6.684612	0.000000	-4.605170	-290.239364
140	0.908135	-1.490198	-6.396930	0.000000	0.000000	-59.356386
141	-5.991465	-332.936277	-6.551080	0.000000	-4.605170	-61.315963
142	0.610165	-0.897948	-6.684612	0.000000	0.000000	-54.722817
143	0.000000	0.000000	-5.298317	0.000000	0.000000	-51.945772
144	1.149161	-21.890552	-7.495542	0.000000	-4.605170	-287.836345
145	-0.459455	-36.618018	-6.396930	0.000000	-4.605170	-57.572595
146	5.466650	9.565504	-6.396930	0.000000	0.000000	-247.616705
147	0.792414	-31.096037	-6.802395	0.000000	-4.605170	-283.669684
148	0.233692	-31.468481	-6.684612	0.000000	-4.605170	-255.964000
149	-0.053990	-7.952235	-5.298317	0.000000	0.000000	-49.306715
150	-1.284053	-54.157421	-7.170120	0.000000	-4.605170	-266.484210
151	-5.298317	-244.767157	-8.895630	0.000000	-4.605170	-261.935265
152	-1.060910	-38.757571	-9.082507	0.000000	0.000000	-262.392729
153	-1.060910	-38.757571	-9.082507	0.000000	0.000000	-262.392729
154	0.369402	-5.540683	-8.779557	0.000000	0.000000	-71.728681
155	-1.284053	-54.157421	-7.170120	0.000000	-4.605170	-266.484210
156	0.369402	-5.540683	-8.779557	0.000000	0.000000	-71.728681
157	-1.284053	-54.157421	-7.170120	0.000000	-4.605170	-266.484210
158	0.465147	0.866906	-7.170120	0.000000	-4.605170	-266.484210
159	-0.251044	0.568661	-5.298317	0.000000	0.000000	-60.161262
160	-1.307882	-57.364621	-7.313220	0.000000	-6.214608	-314.855864
161	-0.061696	0.411847	-7.090077	0.000000	0.000000	-78.264301
162	-2.855795	-154.206004	-9.059517	0.000000	0.000000	-293.237079
163	-2.855795	-154.206004	-9.059517	0.000000	0.000000	-293.237079
164	0.000000	0.000000	-5.703782	0.000000	0.000000	-64.690844
165	-1.060910	-38.757571	-9.082507	0.000000	0.000000	-262.392729
166	0.224962	0.571937	-8.318742	0.000000	-4.605170	-69.712528
167	-0.097070	-0.961877	-7.549609	0.000000	0.000000	-65.868596
168	-5.703782	-240.309882	-5.298317	0.000000	0.000000	-56.684475
169	-0.345668	-24.384438	-5.703782	0.000000	0.000000	-252.484242
170	-1.058193	-34.283528	-4.605170	0.000000	0.000000	-59.546676
171	-0.343852	1.015995	-6.551080	0.000000	-5.298317	-289.772203
172	-0.343852	1.015995	-6.551080	0.000000	-5.298317	-289.772203
173	-0.413695	3.351733	-6.551080	0.000000	-5.298317	-289.772203
174	-4.605170	-326.413550	0.000000	0.000000	0.000000	-64.585712
175	-0.650054	2.618606	-6.684612	0.000000	-4.605170	-65.813402
176	0.272335	3.279609	-7.090077	0.000000	-4.605170	-261.472640
177	0.454656	-0.555053	-6.684612	0.000000	0.000000	-286.652991
178	0.454656	1.201149	-6.684612	0.000000	0.000000	-286.652991
179	0.374836	1.656916	-7.003065	0.000000	-4.605170	-294.698994
180	-0.281944	3.015237	-7.313220	0.000000	-4.605170	-261.417715
181	-0.281944	-2.112368	-7.313220	0.000000	-4.605170	-261.417715
182	-0.130930	-0.871456	-5.991465	0.000000	0.000000	-62.317528
183	0.228882	-4.439966	-4.605170	0.000000	0.000000	-257.735309
184	-0.053741	0.046845	-6.214608	0.000000	-4.605170	-257.155553
185	-0.378553	-23.454894	-8.268732	0.000000	-4.605170	-262.020423
186	-0.220099	-4.791726	-7.495542	0.000000	-6.551080	-293.122428
187	-0.220099	-1.989734	-7.495542	0.000000	-6.551080	-293.122428
188	0.259623	0.812256	-8.268732	0.000000	-4.605170	-262.020423
189	0.205262	-1.389053	-4.605170	0.000000	-6.214608	-304.712071
190	0.043504	-3.252241	-6.907755	0.000000	-5.703782	-289.648823
191	-0.420769	1.012596	-7.696213	0.000000	-4.605170	-342.160309
192	0.792414	-31.096037	-6.802395	0.000000	-4.605170	-283.669684
193	0.792414	-31.096037	-6.802395	0.000000	-4.605170	-283.669684
194	-0.711664	-70.551094	-7.244228	0.000000	-4.605170	-264.839532
195	0.000000	0.000000	-6.214608	0.000000	-4.605170	-255.505294
196	-0.459455	0.550823	-5.703782	0.000000	0.000000	-57.410078
197	-0.711664	-2.853854	-6.907755	0.000000	-4.605170	-264.590171
198	-0.711664	-2.853854	-6.907755	0.000000	-4.605170	-264.590171
199	-1.558068	-76.616125	-7.090077	0.000000	-4.605170	-264.233396
200	0.301462	-1.557102	-6.551080	0.000000	-4.605170	-285.518009
201	0.000000	0.000000	-6.551080	0.000000	-5.703782	-255.335391
202	-1.060910	-38.757571	-9.082507	0.000000	0.000000	-262.392729
203	0.362370	1.116566	-6.396930	0.000000	-4.605170	-63.025063
204	0.017243	3.472487	-7.003065	0.000000	0.000000	-72.851361
205	-0.767394	0.385268	-6.802395	0.000000	0.000000	-59.593197
206	0.000000	-0.219894	-5.298317	0.000000	0.000000	-66.482603
207	-0.967547	1.121519	-7.003065	0.000000	0.000000	-72.851361
208	-1.060910	-38.757571	-9.082507	0.000000	0.000000	-262.392729
209	0.398830	1.490762	-7.696213	0.000000	0.000000	-257.702519
210	-0.571528	-8.960046	-7.549609	0.000000	0.000000	-65.868596
211	-0.584554	0.590919	-6.396930	0.000000	-4.605170	-62.681392
212	-0.149935	-0.303570	-5.703782	0.000000	-4.605170	-57.888449
213	-3.000468	-132.742066	-7.170120	0.000000	0.000000	-257.491025
214	-3.000468	-132.742066	-7.170120	0.000000	0.000000	-257.491025
215	-0.192868	0.197413	-5.991465	0.000000	-4.605170	-269.215046
216	0.720339	1.262130	-6.551080	0.000000	-5.298317	-298.070848
217	-0.240047	-27.183953	-6.396930	0.000000	-5.991465	-291.035017
218	0.000000	-25.221388	-6.684612	0.000000	-5.298317	-73.975641
219	0.000000	-46.051700	-6.396930	0.000000	-5.703782	-310.930974
220	0.457989	2.442669	-8.594154	0.000000	0.000000	-261.702553
221	-5.298317	-227.361271	-4.605170	0.000000	0.000000	-57.627083
222	0.228882	-4.439966	-4.605170	0.000000	0.000000	-257.735309
223	-1.169247	1.458734	-7.313220	0.000000	-4.605170	-261.417715
224	0.197408	2.223880	0.000000	0.000000	0.000000	-65.432780
225	-4.605170	-280.117654	-5.298317	0.000000	0.000000	-258.901793
226	0.000000	0.000000	-4.605170	0.000000	0.000000	-55.026664
227	0.291363	0.433661	-8.517193	0.000000	-5.298317	-68.970593
228	-7.170120	-317.481507	-6.551080	0.000000	-4.605170	-280.532449
229	-0.487161	-36.978359	-7.170120	0.000000	0.000000	-263.450079
230	-0.055119	-50.548928	-8.839277	0.000000	0.000000	-69.164682
231	0.283207	-0.206577	-8.839277	0.000000	0.000000	-69.164682
232	-0.151472	-3.027735	-7.824046	0.000000	-4.605170	-290.094687
233	0.207375	-0.062619	0.000000	0.000000	-4.605170	-303.267002
234	-0.161887	-44.661712	-6.551080	0.000000	-5.298317	-261.209076
235	-0.161887	-44.661712	-6.551080	0.000000	-5.298317	-261.209076
236	-0.272936	-1.966137	-6.551080	0.000000	0.000000	-60.239822
237	0.124747	-0.193516	-5.991465	0.000000	-4.605170	-65.083885
238	0.420211	-0.855059	-5.991465	0.000000	-5.298317	-83.756294
239	-0.524250	-1.862341	-7.824046	0.000000	-4.605170	-291.075838
240	0.022019	1.101906	-5.703782	0.000000	0.000000	-66.474234
241	-5.298317	-6.194095	-7.090077	0.000000	0.000000	-61.800473
242	-1.558068	-76.616125	-7.090077	0.000000	-4.605170	-264.233396
243	-0.711664	-70.551094	-7.244228	0.000000	-4.605170	-264.839532
244	-0.575553	-1.716805	-4.605170	0.000000	0.000000	-252.468738
245	0.233692	-31.468481	-6.684612	0.000000	-4.605170	-255.964000
246	-6.396930	-273.697790	0.000000	0.000000	-5.298317	-255.623074
247	5.007055	-46.981918	-8.242756	0.000000	-5.703782	-295.708952
248	5.007055	-46.981918	-8.242756	0.000000	-5.703782	-295.708952
249	5.007055	-46.981918	-8.242756	0.000000	-5.703782	-295.708952
250	0.034390	3.071237	-6.396930	0.000000	-5.703782	-324.645188
251	5.974561	-4.727890	-6.396930	0.000000	-5.703782	-324.645188
252	-0.201873	0.457635	-6.551080	0.000000	0.000000	-76.592112
253	0.233329	2.711813	-6.684612	0.000000	0.000000	-59.810641
254	-0.240047	-27.183953	-6.396930	0.000000	-5.991465	-291.035017
255	0.394786	-1.023388	-5.298317	0.000000	-4.605170	-64.390740
256	-1.091354	-42.861340	-6.551080	0.000000	-5.298317	-72.013260
257	1.231034	3.000213	-7.549609	0.000000	-4.605170	-74.993243
258	0.132422	2.746713	-7.090077	0.000000	-5.298317	-71.716798
259	-0.075218	-40.727575	-7.549609	0.000000	-4.605170	-74.993243
260	-6.396930	-365.229240	-6.214608	0.000000	-4.605170	-67.476082
261	0.132422	-1.713646	-7.090077	0.000000	-5.298317	-71.716798
262	-0.075218	-40.727575	-7.549609	0.000000	-4.605170	-74.993243
263	-7.170120	-328.780129	-7.090077	0.000000	-4.605170	-264.062708
264	-0.151472	-3.027735	-7.824046	0.000000	-4.605170	-290.094687
265	-5.703782	-269.466781	-5.298317	0.000000	0.000000	-62.177765
266	0.272335	0.807057	-7.090077	0.000000	-4.605170	-261.472640
267	-5.298317	-62.336137	-7.824046	0.000000	0.000000	-64.126528
268	0.000000	0.000000	0.000000	0.000000	0.000000	-37.534507
269	0.000000	0.000000	0.000000	0.000000	0.000000	-37.534507
270	0.000000	0.000000	0.000000	0.000000	0.000000	-37.534507
271	1.315736	-0.028386	0.000000	0.000000	0.000000	0.000000
272	0.000000	0.000000	0.000000	0.000000	0.000000	-37.534507
273	0.069966	1.440850	-5.298317	0.000000	-5.298317	-47.684853
274	-0.056031	0.297127	-5.991465	0.000000	0.000000	-53.154199
275	0.011316	1.118382	-6.214608	0.000000	0.000000	-78.190500
276	0.084414	0.281733	-6.907755	0.000000	-5.703782	-289.648823
277	-1.095282	-61.708408	-7.313220	0.000000	-5.298317	-261.807913
278	-0.292968	-68.765188	-6.551080	0.000000	-5.991465	-85.193564
279	4.976225	-62.956769	-4.605170	0.000000	-4.605170	-76.819952
280	-0.161887	-44.661712	-6.551080	0.000000	-5.298317	-261.209076
281	0.229770	2.785923	-7.003065	0.000000	0.000000	-70.811140
282	-0.236849	-48.483759	-6.684612	0.000000	-5.991465	-291.286332
283	0.444475	3.735108	-7.495542	0.000000	-6.551080	-293.122428
284	-1.285352	-80.533962	-7.740664	0.000000	0.000000	-71.216607
285	0.000000	2.912566	0.000000	0.000000	0.000000	-53.336521
286	-1.798792	-90.756378	-6.551080	0.000000	-4.605170	-291.180970
287	-5.991465	-332.936277	-6.551080	0.000000	-4.605170	-61.315963
288	-5.991465	-65.906115	-5.298317	0.000000	0.000000	-67.370721
289	-0.277087	-1.703006	-6.396930	0.000000	-5.298317	-292.443884
290	-1.170330	-62.718174	-6.684612	0.000000	-5.298317	-313.543433
291	-0.400673	0.926104	-7.649693	0.000000	0.000000	-60.986215
292	0.407711	1.508356	-7.170120	0.000000	-5.298317	-263.699436
293	0.007967	1.698113	-7.495542	0.000000	0.000000	-85.389207
294	-0.913369	-1.268706	-5.991465	0.000000	-5.298317	-85.946552
295	-0.818059	-46.685752	-7.824046	0.000000	-4.605170	-293.332006
296	-0.818059	-46.685752	-7.824046	0.000000	-4.605170	-293.332006
297	-1.405845	-2.246571	-7.438384	0.000000	-4.605170	-259.738040
298	-7.170120	-328.780129	-7.090077	0.000000	-4.605170	-264.062708
299	-1.086379	-58.870950	0.000000	0.000000	0.000000	-60.645289
300	0.200994	-0.094206	-5.991465	0.000000	0.000000	-53.154199
301	0.077378	4.618306	-7.244228	0.000000	-5.991465	-324.940887
302	-0.378553	-23.454894	-8.268732	0.000000	-4.605170	-262.020423
303	-0.986115	-2.166308	-6.684612	0.000000	-5.298317	-258.764991
304	0.000000	-59.914650	-6.907755	0.000000	-5.298317	-62.534440
305	0.129893	-2.513965	-4.605170	0.000000	-6.214608	-304.712071
306	-6.214608	-219.733011	-7.824046	0.000000	-4.605170	-291.075838
307	0.254994	0.012623	-8.794825	0.000000	-4.605170	-64.585483
308	-0.090394	-13.097946	-6.802395	0.000000	-5.298317	-266.297090
309	-0.585875	-0.801823	-7.495542	0.000000	-5.298317	-262.875275
310	0.004042	-0.327657	-7.244228	0.000000	-4.605170	-264.045478
311	0.000000	-198.022310	0.000000	0.000000	0.000000	-66.341099
312	0.908135	-1.490198	-6.396930	0.000000	0.000000	-59.356386
313	-1.156831	-80.077326	-6.802395	0.000000	0.000000	-68.159180
314	-0.385825	-16.554402	-8.294050	0.000000	-5.298317	-337.849253
315	-6.214608	-327.142794	-4.605170	0.000000	0.000000	-62.113226
316	0.010595	-19.645095	-7.313220	0.000000	-4.605170	-259.127554
317	-0.081008	0.864932	-7.495542	0.000000	0.000000	-85.389207
318	0.000000	0.000000	-6.684612	0.000000	0.000000	-59.810641
319	0.000000	0.000000	-6.551080	0.000000	0.000000	-76.592112
320	0.165418	-0.400836	-5.703782	0.000000	0.000000	-57.012979
321	-5.298317	-230.167473	-4.605170	0.000000	0.000000	-57.627083
322	0.152996	1.239939	-6.684612	0.000000	0.000000	-59.810641
323	0.323377	0.726591	-6.802395	0.000000	-5.298317	-296.331993
324	-0.818059	-46.685752	-7.824046	0.000000	-4.605170	-293.332006
325	0.323377	0.726591	-6.802395	0.000000	-5.298317	-296.331993
326	-0.192868	0.820826	-8.160518	0.000000	-4.605170	-270.580887
327	0.000000	-25.221388	-6.684612	0.000000	-5.298317	-73.975641
328	-0.458990	-3.788677	-9.082507	0.000000	-4.605170	-266.372491
329	-0.109188	0.641666	-6.551080	0.000000	-4.605170	-64.338621
330	0.281698	-0.842372	-7.438384	0.000000	-5.298317	-298.323819
331	0.281698	-0.842372	-7.438384	0.000000	-5.298317	-298.323819
332	-0.277918	-1.231313	-7.438384	0.000000	-5.298317	-298.323819
333	0.281698	-0.842372	-7.438384	0.000000	-5.298317	-298.323819
334	0.620453	0.542928	-6.396930	0.000000	0.000000	-59.356386
335	0.214988	-2.594594	-6.551080	0.000000	-5.298317	-241.178958
336	-0.124817	-0.678387	-5.703782	0.000000	-4.605170	-69.363151
337	0.084905	0.823136	-8.794825	0.000000	-4.605170	-64.585483
338	-0.201931	0.320929	-6.684612	0.000000	0.000000	-106.859110
339	-1.609627	0.672560	-7.003065	0.000000	-4.605170	-261.069274
340	0.000000	0.000000	-7.003065	0.000000	-4.605170	-261.069274
341	-0.089991	-0.148302	-8.216088	0.000000	0.000000	-259.019889
342	5.713133	-12.847374	-7.377759	0.000000	-5.298317	-316.216103
343	5.713133	-12.847374	-7.377759	0.000000	-5.298317	-316.216103
344	-1.156831	-80.077326	-6.802395	0.000000	0.000000	-68.159180
345	0.357392	2.963577	-7.244228	0.000000	-4.605170	-298.195085
346	-5.298317	-284.329261	-6.396930	0.000000	0.000000	-69.506736
347	-0.334561	-0.644099	-5.991465	0.000000	-4.605170	-284.776074
348	-0.436401	-1.432738	-5.991465	0.000000	0.000000	-63.021485
349	-5.991465	-294.226785	-7.863267	0.000000	0.000000	-67.642953
350	0.668706	0.208746	-6.802395	0.000000	0.000000	-258.529612
351	-0.318618	-29.339003	-5.991465	0.000000	0.000000	-63.021485
352	-6.551080	-362.028105	-7.313220	0.000000	-5.298317	-313.038495
353	0.117628	1.760466	-9.375855	0.000000	0.000000	-73.237473
354	-0.895297	-44.005475	-6.551080	0.000000	0.000000	-68.088435
355	-0.129066	3.622532	-9.035987	0.000000	0.000000	-62.786170
356	-0.940732	-15.475310	-9.035987	0.000000	0.000000	-62.786170
357	-0.099165	2.550255	-6.214608	0.000000	0.000000	-63.053236
358	-0.024441	1.224928	-6.214608	0.000000	0.000000	-63.053236
359	-5.298317	-293.338431	-5.991465	0.000000	-4.605170	-63.169164
360	-5.298317	-293.338431	-5.991465	0.000000	-4.605170	-63.169164
361	0.000000	-277.657592	-6.907755	0.000000	-4.605170	-67.976859
362	-0.281944	-78.226354	-6.396930	0.000000	-4.605170	-68.647203
363	-0.281944	-78.226354	-6.396930	0.000000	-4.605170	-68.647203
364	0.150244	-0.602671	-8.216088	0.000000	-4.605170	-298.396649
365	-4.605170	-315.607578	-5.298317	0.000000	0.000000	-171.854546
366	0.654911	1.965468	-7.090077	0.000000	-5.298317	-263.062048
367	0.163501	1.488417	-7.696213	0.000000	0.000000	-254.970752
368	-0.478159	-0.982890	-5.298317	0.000000	0.000000	-70.916501
369	-0.585875	-0.801823	-7.495542	0.000000	-5.298317	-262.875275
370	-0.585875	-0.801823	-7.495542	0.000000	-5.298317	-262.875275
371	-1.718724	-102.061550	0.000000	0.000000	0.000000	-58.869694
372	0.764052	1.371175	-7.495542	0.000000	-5.298317	-262.875275
373	-0.332430	-1.766531	0.000000	0.000000	0.000000	-257.725737
374	-1.941868	-99.383518	-5.703782	0.000000	-5.298317	-289.117278
375	0.117628	-0.726327	-9.375855	0.000000	0.000000	-73.237473
376	-0.477394	1.284125	-6.214608	0.000000	-5.298317	-308.539005
377	-0.172012	3.700454	-6.214608	0.000000	-5.298317	-308.539005
378	-0.259023	-9.412281	-7.170120	0.000000	-4.605170	-263.866249
379	-0.259023	-9.412281	-7.170120	0.000000	-4.605170	-263.866249
380	-0.259023	-9.412281	-7.170120	0.000000	-4.605170	-263.866249
381	1.080751	4.377962	-7.170120	0.000000	-4.605170	-263.866249
382	-0.477394	1.284125	-6.214608	0.000000	-5.298317	-308.539005
383	-0.270439	3.815880	-6.551080	0.000000	0.000000	-59.700827
384	-0.546486	1.136794	-7.824046	0.000000	0.000000	-71.935071
385	-0.872237	-63.970298	-6.802395	0.000000	-4.605170	-291.517443
386	0.096889	2.346402	-7.783224	0.000000	0.000000	-88.325924
387	-4.605170	-251.005480	-6.802395	0.000000	0.000000	-59.593197
388	0.807357	0.749707	-7.438384	0.000000	-4.605170	-262.179420
389	0.191171	1.771449	-7.438384	0.000000	-4.605170	-262.179420
390	0.000000	-68.656110	-6.907755	0.000000	0.000000	-257.463627
391	-0.593173	0.395796	-6.684612	0.000000	-4.605170	-290.239364
392	-0.089991	-0.148302	-8.216088	0.000000	0.000000	-259.019889
393	-4.605170	-68.574470	-7.549609	0.000000	0.000000	-260.485677
394	-0.201931	0.320929	-6.684612	0.000000	0.000000	-106.859110
