run,model,end,group,alternative,target,calibrate,within_threshold,survey_pct,model_pct,diff,current_beta,adjustment,new_beta
7,AutoOwnership,15,3,4,AutoOwnership,TRUE,FALSE,24.41,21.48,-2.93,-2.154305661,0.1088,-2.0455
7,AutoOwnership,16,4,0,AutoOwnership,TRUE,TRUE,4.17,4.57,0.4,-0.68849028,0,-0.6885
7,AutoOwnership,17,4,1,AutoOwnership,TRUE,FALSE,9.57,5.5,-4.08,,0.4717,
7,AutoOwnership,18,4,2,AutoOwnership,TRUE,FALSE,13.41,5.89,-7.53,0.399539218,0.7002,1.0997
7,AutoOwnership,19,4,3,AutoOwnership,TRUE,TRUE,32.33,32.12,-0.22,0.699030446,0,0.699
7,AutoOwnership,20,4,4,AutoOwnership,TRUE,FALSE,40.51,51.93,11.42,0.32485447,-0.2111,0.1138
8,IndividualPersonDayPattern,,,0,WorkParticipationRate,FALSE,FALSE,72.3,66.78,-5.53,,0,
8,IndividualPersonDayPattern,100,,1,WorkParticipationRate,TRUE,FALSE,27.7,33.22,5.53,0.240672765,-0.1546,0.0861
8,IndividualPersonDayPattern,,,0,SchoolParticipationRate,FALSE,TRUE,85.81,85.64,-0.17,,0,
8,IndividualPersonDayPattern,200,,1,SchoolParticipationRate,TRUE,TRUE,14.19,14.36,0.17,-0.285269426,0,-0.2853
8,IndividualPersonDayPattern,,,0,EscortPartcipationRate,FALSE,FALSE,94,89.11,-4.9,,0,
8,IndividualPersonDayPattern,300,,1,EscortPartcipationRate,TRUE,FALSE,6,10.89,4.9,-4.323472284,-0.5073,-4.8308
8,IndividualPersonDayPattern,,,0,PBParticipationRate,FALSE,FALSE,90.96,83.27,-7.69,,0,
8,IndividualPersonDayPattern,400,,1,PBParticipationRate,TRUE,FALSE,9.04,16.73,7.69,-2.156291766,-0.5235,-2.6798
8,IndividualPersonDayPattern,,,0,ShopParticipationRate,FALSE,FALSE,84.56,88.62,4.06,,0,
8,IndividualPersonDayPattern,500,,1,ShopParticipationRate,TRUE,FALSE,15.44,11.38,-4.06,-2.743452407,0.2591,-2.4844
8,IndividualPersonDayPattern,,,0,MealParticipationRate,FALSE,TRUE,94.76,93.4,-1.36,,0,
8,IndividualPersonDayPattern,600,,1,MealParticipationRate,TRUE,TRUE,5.24,6.6,1.36,-3.243887594,0,-3.2439
8,IndividualPersonDayPattern,,,0,SocRecParticipationRate,FALSE,FALSE,80.6,88.28,7.68,,0,
8,IndividualPersonDayPattern,700,,1,SocRecParticipationRate,TRUE,FALSE,19.4,11.72,-7.68,-2.881935584,0.4285,-2.4534
8,IndividualPersonDayPattern,,,0,DiscParticipationRate,FALSE,FALSE,76.16,82.31,6.15,,0,
8,IndividualPersonDayPattern,,,1,DiscParticipationRate,FALSE,FALSE,23.84,17.69,-6.15,,0,
8,IndividualPersonDayPattern,,,0,work_Stop,FALSE,TRUE,90.44,88.83,-1.61,,0,
8,IndividualPersonDayPattern,101,,1,work_Stop,TRUE,TRUE,9.56,11.17,1.61,4.269185583,0,4.2692
8,IndividualPersonDayPattern,,,0,school_Stop,FALSE,FALSE,96.21,98.61,2.4,,0,
8,IndividualPersonDayPattern,201,,1,school_Stop,TRUE,FALSE,3.79,1.39,-2.4,-0.429119352,0.851,0.4219
8,IndividualPersonDayPattern,,,0,escort_Stop,FALSE,FALSE,94.11,83.75,-10.36,,0,
8,IndividualPersonDayPattern,301,,1,escort_Stop,TRUE,FALSE,5.89,16.25,10.36,-1.495006722,-0.8624,-2.3574
8,IndividualPersonDayPattern,,,0,pb_Stop,FALSE,FALSE,93.63,55.99,-37.64,,0,
8,IndividualPersonDayPattern,401,,1,pb_Stop,TRUE,FALSE,6.37,44.01,37.64,3.091903843,-1.6425,1.4494
8,IndividualPersonDayPattern,,,0,shop_Stop,FALSE,FALSE,79.19,64.1,-15.09,,0,
8,IndividualPersonDayPattern,501,,1,shop_Stop,TRUE,FALSE,20.81,35.9,15.09,1.904813475,-0.4635,1.4413
8,IndividualPersonDayPattern,,,0,meal_Stop,FALSE,FALSE,85.43,87.7,2.27,,0,
8,IndividualPersonDayPattern,601,,1,meal_Stop,TRUE,FALSE,14.57,12.3,-2.27,0.018561624,0.144,0.1626
8,IndividualPersonDayPattern,,,0,socrec_Stop,FALSE,TRUE,89.84,88.13,-1.71,,0,
8,IndividualPersonDayPattern,701,,1,socrec_Stop,TRUE,TRUE,10.16,11.87,1.71,0.533472434,0,0.5335
8,IndividualPersonDayPattern,,,0,meal_Stop,FALSE,FALSE,85.43,87.7,2.27,,0,
8,IndividualPersonDayPattern,601,,1,meal_Stop,TRUE,FALSE,14.57,12.3,-2.27,0.018561624,0.144,0.1626
8,IndividualPersonDayPattern,,,0,maint_Stop,FALSE,FALSE,72.73,39.49,-33.24,,0,
8,IndividualPersonDayPattern,,,1,maint_Stop,FALSE,FALSE,27.27,60.51,33.24,,0,
8,IndividualPersonDayPattern,,,0,disc_Ch515,FALSE,FALSE,64.98,77.69,12.71,,0,
8,IndividualPersonDayPattern,,,1,disc_Ch515,FALSE,FALSE,35.02,22.31,-12.71,,0,
8,IndividualPersonDayPattern,,,0,meal_Ch515,FALSE,TRUE,88.75,88.55,-0.2,,0,
8,IndividualPersonDayPattern,607,,1,meal_Ch515,TRUE,TRUE,11.25,11.45,0.2,-0.337410136,0,-0.3374
8,IndividualPersonDayPattern,,,0,pb_Ch515,FALSE,FALSE,97.22,81.27,-15.94,,0,
8,IndividualPersonDayPattern,407,,1,pb_Ch515,TRUE,FALSE,2.78,18.73,15.94,0.212086042,-1.6203,-1.4082
8,IndividualPersonDayPattern,,,0,school_Ch515,FALSE,FALSE,25.17,39.1,13.92,,0,
8,IndividualPersonDayPattern,207,,1,school_Ch515,TRUE,FALSE,74.83,60.9,-13.92,2.300002698,0.175,2.475
8,IndividualPersonDayPattern,,,0,shop_Ch515,FALSE,TRUE,83.93,84.65,0.71,,0,
8,IndividualPersonDayPattern,507,,1,shop_Ch515,TRUE,TRUE,16.07,15.35,-0.71,-0.370437844,0,-0.3704
8,IndividualPersonDayPattern,,,0,socrec_Ch515,FALSE,FALSE,72.93,86.55,13.62,,0,
8,IndividualPersonDayPattern,707,,1,socrec_Ch515,TRUE,FALSE,27.07,13.45,-13.62,1.317151737,0.5945,1.9117
8,IndividualPersonDayPattern,,,0,maint_Ch515,FALSE,FALSE,81.15,59.38,-21.77,,0,
8,IndividualPersonDayPattern,,,1,maint_Ch515,FALSE,FALSE,18.85,40.62,21.77,,0,
8,IndividualPersonDayPattern,,,0,disc_Ch515,FALSE,FALSE,64.98,77.69,12.71,,0,
8,IndividualPersonDayPattern,,,1,disc_Ch515,FALSE,FALSE,35.02,22.31,-12.71,,0,
8,IndividualPersonDayPattern,,,0,escort_FT,FALSE,FALSE,89.32,78.02,-11.3,,0,
8,IndividualPersonDayPattern,351,,1,escort_FT,TRUE,FALSE,10.68,21.98,11.3,0.457887898,-0.6137,-0.1558
8,IndividualPersonDayPattern,,,0,meal_FT,FALSE,FALSE,78.64,76.62,-2.02,,0,
8,IndividualPersonDayPattern,651,,1,meal_FT,TRUE,FALSE,21.36,23.38,2.02,0.526718448,-0.0768,0.4499
8,IndividualPersonDayPattern,,,0,pb_FT,FALSE,FALSE,91.07,58.56,-32.51,,0,
8,IndividualPersonDayPattern,451,,1,pb_FT,TRUE,FALSE,8.93,41.44,32.51,-0.402401331,-1.3049,-1.7073
8,IndividualPersonDayPattern,,,0,school_FT,FALSE,TRUE,97.9,99.07,1.17,,0,
8,IndividualPersonDayPattern,251,,1,school_FT,TRUE,TRUE,2.1,0.93,-1.17,-2.898563569,0,-2.8986
8,IndividualPersonDayPattern,,,0,shop_FT,FALSE,FALSE,72.63,61,-11.63,,0,
8,IndividualPersonDayPattern,551,,1,shop_FT,TRUE,FALSE,27.37,39,11.63,0.0708576,-0.3009,-0.23
8,IndividualPersonDayPattern,,,0,socrec_FT,FALSE,FALSE,77.27,83.89,6.62,,0,
8,IndividualPersonDayPattern,751,,1,socrec_FT,TRUE,FALSE,22.73,16.11,-6.62,0.328101006,0.2927,0.6208
8,IndividualPersonDayPattern,,,0,work_FT,FALSE,FALSE,38.36,21.46,-16.9,,0,
8,IndividualPersonDayPattern,151,,1,work_FT,TRUE,FALSE,61.64,78.54,16.9,0.010216949,-0.2059,-0.1957
8,IndividualPersonDayPattern,,,0,maint_FT,FALSE,FALSE,61.26,33.14,-28.13,,0,
8,IndividualPersonDayPattern,,,1,maint_FT,FALSE,FALSE,38.74,66.86,28.13,,0,
8,IndividualPersonDayPattern,,,0,disc_FT,FALSE,FALSE,61.62,65.55,3.93,,0,
8,IndividualPersonDayPattern,,,1,disc_FT,FALSE,FALSE,38.38,34.45,-3.93,,0,
8,IndividualPersonDayPattern,,,0,escort_Nonworker,FALSE,FALSE,85.66,73.86,-11.79,,0,
8,IndividualPersonDayPattern,304,,1,escort_Nonworker,TRUE,FALSE,14.34,26.14,11.79,0.240571511,-0.5101,-0.2695
8,IndividualPersonDayPattern,,,0,meal_Nonworker,FALSE,FALSE,82.31,85.6,3.29,,0,
8,IndividualPersonDayPattern,604,,1,meal_Nonworker,TRUE,FALSE,17.69,14.4,-3.29,-0.17509326,0.1751,0
8,IndividualPersonDayPattern,,,0,pb_Nonworker,FALSE,FALSE,85.62,33.61,-52.01,,0,
8,IndividualPersonDayPattern,404,,1,pb_Nonworker,TRUE,FALSE,14.38,66.39,52.01,0.684387548,-1.3,-0.6156
8,IndividualPersonDayPattern,,,0,shop_Nonworker,FALSE,FALSE,68.91,47.55,-21.36,,0,
8,IndividualPersonDayPattern,504,,1,shop_Nonworker,TRUE,FALSE,31.09,52.45,21.36,0.283027437,-0.4445,-0.1615
8,IndividualPersonDayPattern,,,0,socrec_Nonworker,FALSE,FALSE,76.93,79.66,2.73,,0,
8,IndividualPersonDayPattern,704,,1,socrec_Nonworker,TRUE,FALSE,23.07,20.34,-2.73,0.351331393,0.107,0.4583
8,IndividualPersonDayPattern,,,0,maint_Nonworker,FALSE,FALSE,53.79,23.58,-30.21,,0,
8,IndividualPersonDayPattern,,,1,maint_Nonworker,FALSE,FALSE,46.21,76.42,30.21,,0,
8,IndividualPersonDayPattern,,,0,disc_Nonworker,FALSE,FALSE,65.15,68.85,3.69,,0,
8,IndividualPersonDayPattern,,,1,disc_Nonworker,FALSE,FALSE,34.85,31.15,-3.69,,0,
8,IndividualPersonDayPattern,,,0,escort_PT,FALSE,FALSE,85.96,43.57,-42.39,,0,
8,IndividualPersonDayPattern,302,,1,escort_PT,TRUE,FALSE,14.04,56.43,42.39,2.372793177,-1.1823,1.1905
8,IndividualPersonDayPattern,,,0,meal_PT,FALSE,FALSE,78.83,71.13,-7.7,,0,
8,IndividualPersonDayPattern,602,,1,meal_PT,TRUE,FALSE,21.17,28.87,7.7,0.888569653,-0.2636,0.625
8,IndividualPersonDayPattern,,,0,pb_PT,FALSE,FALSE,83.26,7.72,-75.54,,0,
8,IndividualPersonDayPattern,402,,1,pb_PT,TRUE,FALSE,16.74,92.28,75.54,4.737216957,-1.451,3.2862
8,IndividualPersonDayPattern,,,0,shop_PT,FALSE,FALSE,68.13,10.37,-57.76,,0,
8,IndividualPersonDayPattern,502,,1,shop_PT,TRUE,FALSE,31.87,89.63,57.76,3.525841784,-0.8788,2.647
8,IndividualPersonDayPattern,,,0,socrec_PT,FALSE,FALSE,70.65,68.15,-2.5,,0,
