RespondentID,Route ,linked trip weight,unlinked weight (boarding weight),TAZ_ID_LEFT,DISTRICT_LEFT,TAZ_ID_DEST,DISTRICT_DEST
4199326829.0,10- East Chattanooga,3.184783,6.369566,897,8.0,410,9.0
4206066684.0,10- East Chattanooga,3.184783,3.184783,434,8.0,752,9.0
4209630869.0,21- Golden Gateway,2.755814,8.267441999999999,731,9.0,752,9.0
4209714464.0,8- Eastdale,1.421053,4.263159,336,8.0,472,7.0
4210021492.0,1- Alton Park,2.488372,4.976744,272,9.0,272,9.0
4210049627.0,1- Alton Park,2.488372,2.488372,415,9.0,272,9.0
4210354314.0,1- Alton Park,2.488372,2.488372,849,9.0,721,9.0
4215237302.0,9- East Lake,2.504202,5.008404,415,9.0,717,8.0
4215249165.0,10- East Chattanooga,3.184783,3.184783,313,4.0,501,5.0
4215260812.0,4- Hamilton Place,2.734848,5.469696,293,9.0,849,9.0
4215330903.0,4- Hamilton Place,2.734848,2.734848,717,8.0,223,9.0
4215355676.0,4- Hamilton Place,2.734848,5.469696,711,7.0,849,9.0
4215570303.0,4- Hamilton Place,2.734848,2.734848,276,9.0,717,8.0
4215582385.0,4- Hamilton Place,2.734848,2.734848,275,9.0,711,7.0
4224050680.0,3- Enterprise South,1.0,2.0,748,7.0,415,9.0
4224069501.0,9- East Lake,2.504202,7.512606,344,8.0,240,13.0
4224077756.0,9- East Lake,2.504202,5.008404,837,9.0,905,9.0
4224090296.0,6- East Brainerd,1.0,3.0,543,7.0,543,7.0
4224107560.0,6- East Brainerd,1.0,1.0,863,7.0,428,8.0
4224233703.0,6- East Brainerd,1.0,3.0,849,9.0,476,8.0
4224241695.0,6- East Brainerd,1.0,3.0,487,7.0,711,7.0
4224247689.0,6- East Brainerd,1.0,1.0,487,7.0,711,7.0
4224254453.0,1- Alton Park,2.488372,7.465116,282,9.0,486,7.0
4224261251.0,1- Alton Park,2.488372,2.488372,223,9.0,735,8.0
4241535784.0,14- Mocs Express,2.678571,2.678571,275,9.0,279,9.0
4241542120.0,14- Mocs Express,2.678571,2.678571,278,9.0,285,9.0
4241548742.0,14- Mocs Express,2.678571,2.678571,752,9.0,258,9.0
4241555013.0,4- Hamilton Place,2.734848,5.469696,907,9.0,305,9.0
4241560626.0,4- Hamilton Place,2.734848,2.734848,907,9.0,244,9.0
4241572559.0,4- Hamilton Place,2.734848,5.469696,834,9.0,462,8.0
4241584232.0,4- Hamilton Place,2.734848,2.734848,292,9.0,487,7.0
4241590139.0,4- Hamilton Place,2.734848,2.734848,863,7.0,225,9.0
4241595740.0,4- Hamilton Place,2.734848,2.734848,132,6.0,262,9.0
4241603464.0,4- Hamilton Place,2.734848,5.469696,266,9.0,267,9.0
4241608393.0,4- Hamilton Place,2.734848,2.734848,222,9.0,849,9.0
4241613454.0,4- Hamilton Place,2.734848,8.204544,416,9.0,256,9.0
4241624398.0,4- Hamilton Place,2.734848,5.469696,472,7.0,455,8.0
4241631005.0,16- Northgate,1.833333,3.666666,396,4.0,385,4.0
4241639366.0,16- Northgate,1.833333,3.666666,906,9.0,385,4.0
4241656191.0,16- Northgate,1.833333,1.833333,309,4.0,503,4.0
4241663245.0,16- Northgate,1.833333,3.666666,317,9.0,503,4.0
4241669706.0,16- Northgate,1.833333,3.666666,321,9.0,396,4.0
4241676050.0,16- Northgate,1.833333,1.833333,228,9.0,499,5.0
4241683378.0,16- Northgate,1.833333,1.833333,228,9.0,679,5.0
4241702217.0,8- Eastdale,1.421053,2.842106,430,8.0,214,9.0
4241709211.0,1- Alton Park,2.488372,4.976744,895,8.0,462,8.0
4241716006.0,1- Alton Park,2.488372,2.488372,405,9.0,837,9.0
4241727575.0,1- Alton Park,2.488372,2.488372,238,9.0,326,9.0
4241733095.0,1- Alton Park,2.488372,4.976744,837,9.0,711,7.0
4241761317.0,1- Alton Park,2.488372,4.976744,506,4.0,837,9.0
4241766683.0,9- East Lake,2.504202,5.008404,418,8.0,396,4.0
4241773118.0,16- Northgate,1.833333,3.666666,334,8.0,679,5.0
4241780846.0,16- Northgate,1.833333,3.666666,679,5.0,679,5.0
4241787033.0,16- Northgate,1.833333,1.833333,313,4.0,679,5.0
4241821458.0,10- East Chattanooga,3.184783,9.554349,344,8.0,223,9.0
4241828271.0,10- East Chattanooga,3.184783,6.369566,470,7.0,305,9.0
4241835596.0,10- East Chattanooga,3.184783,9.554349,344,8.0,752,9.0
4241843982.0,4- Hamilton Place,2.734848,2.734848,254,9.0,487,7.0
4241852064.0,4- Hamilton Place,2.734848,2.734848,265,9.0,487,7.0
4241856924.0,4- Hamilton Place,2.734848,8.204544,315,9.0,341,9.0
4241862037.0,4- Hamilton Place,2.734848,2.734848,711,7.0,327,9.0
4241866769.0,4- Hamilton Place,2.734848,5.469696,865,7.0,327,9.0
4241876131.0,4- Hamilton Place,2.734848,5.469696,908,9.0,26,8.0
4241880518.0,4- Hamilton Place,2.734848,2.734848,332,8.0,26,8.0
4241889569.0,4- Hamilton Place,2.734848,5.469696,316,9.0,711,7.0
4241897060.0,4- Hamilton Place,2.734848,2.734848,849,9.0,487,7.0
4241901938.0,4- Hamilton Place,2.734848,2.734848,454,8.0,222,9.0
4241912403.0,4- Hamilton Place,2.734848,5.469696,222,9.0,717,8.0
4241916987.0,4- Hamilton Place,2.734848,2.734848,226,9.0,454,8.0
