,RespondentID,Route ,Route - In/Out Bound,Left From,Left Other,Left St No,Left St Name,Left Nearest Intersection,Left Name,Final Destination,Destination-Other,Dest St No,Dest St Name,Dest Nearest Intersection ,Dest Name,Zipcode,confidence_left,lat_left,lng_left,confidence_dest,lat_dest,lng_dest,Route,Geocode_result_left,Geocode_result_dest,Left_Add_EDIT,lat_left_EDIT,lng_left_EDIT,Dest_Add_EDIT,lat_dest_EDIT,lng_dest_EDIT
25,4224162421,6- East Brainerd,Out Bound,Work,,,E. Brainerd,,,Home,,202,Timber Knoll,,,37421,5,35.0153686,-85.1119641,9,35.0162107,-85.1873595,6- East Brainerd,no_pass,pass,,,,,,
26,4224225821,6- East Brainerd,Out Bound,Store,,,,,,Work,,,Hamilton Place Blvd,,Acropolis,30736,,,,9,35.039782,-85.156113,6- East Brainerd,insufficient_data,pass,,,,,,
27,4224233703,6- East Brainerd,Out Bound,Home,,1201,Boynton Drive,Boynton & MLK,,Other,ODAR Building,,,,ODAR Building,37402,9,35.0452594,-85.3202049,9,35.0123946,-85.1895951,6- East Brainerd,pass,pass,,,,,,
28,4224241695,6- East Brainerd,Out Bound,Personal errands,,,,,Hamilton Place Mall,Store,,,,,Walmart,,9,35.0336912,-85.1585253,9,35.0301589,-85.1527709,6- East Brainerd,pass,pass,,,,,,
29,4224247689,6- East Brainerd,Out Bound,Store,,,,,Hamilton Place Mall,Personal errands,,,,,Walmart,,9,35.0336912,-85.1585253,9,35.0301589,-85.1527709,6- East Brainerd,pass,pass,,,,,,
30,4224254453,1- Alton Park,In Bound,Work,,,Amnicola Hwy,Amnicola & Riverside,America Fixtures,Social / restaurant,,,Lee Hwy,Lee Hwy & Shallowford,,30741,9,35.063282,-85.272236,9,35.0449042,-85.1624371,1- Alton Park,pass,pass,,,,,,
31,4224261251,1- Alton Park,Out Bound,Other,,,,6th & Market,,Home,,,Citico Ave Apt 201,,,37406,9,35.0496808,-85.3095494,9,35.0427425,-85.2569057,1- Alton Park,pass,pass,,,,,,
32,4241521702,14- Mocs Express,In Bound,University / College,,,,,,University / College,,,,,,37403,,,,,,,14- Mocs Express,insufficient_data,insufficient_data,,,,,,
33,4234123910,16- Northgate,In Bound,,,,,,,Social / restaurant,,,,,,,,,,,,,16- Northgate,insufficient_data,insufficient_data,,,,,,
34,4241535784,14- Mocs Express,In Bound,Work,,,,,"Stacy Town Center, UTC",Work,,,,,"Stagmaier Hall, UTC",37311,9,35.0445242,-85.30114,9,35.0452507,-85.2983505,14- Mocs Express,pass,pass,,,,,,
35,4241542120,14- Mocs Express,Out Bound,University / College,,,E 5th St,E 5th St & Palmetto St,University Center,Other,Parking lot,,,3rd & O'Neal,Engel Stadium,37416,9,35.047943,-85.2982972,9,35.0453668,-85.2863116,14- Mocs Express,pass,pass,,,,,,
36,4241548742,14- Mocs Express,Out Bound,Home,,1142,Pierce Ave,,McDonalds,University / College,,,,,Library,37403,9,35.0473656,-85.2852811,9,35.0443542,-85.3105651,14- Mocs Express,pass,pass,,,,,,
37,4241555013,4- Hamilton Place,Out Bound,Home,,,E 42nd,,,Home,,3021,Alton Park Blvd,,Market St & 12th,37410,9,35.0006894,-85.3084647,9,35.0197753,-85.3153924,4- Hamilton Place,pass,pass,,,,,,
38,4241560626,4- Hamilton Place,Out Bound,Home,,4501,Fagan,,,Work,,,Market,,,37401,9,34.998941,-85.311635,9,35.0558478,-85.310956,4- Hamilton Place,pass,pass,,,,,,
39,4241566236,4- Hamilton Place,Out Bound,Home,,51,3606 Hughes Ave,,,Work,,,Alton Park Blvd,,,37410,9,35.0078688,-85.3106056,7,35.0146023,-85.3144989,4- Hamilton Place,pass,no_pass,,,,,,
40,4241572559,4- Hamilton Place,Out Bound,Home,,,43rd & Tenn Ave,42nd & Tenn Ave,,Work,,,,Brainerd & Moore,,37409,9,35.0027913,-85.3275747,9,35.0129606,-85.2282746,4- Hamilton Place,pass,pass,,,,,,
41,4241577820,4- Hamilton Place,Out Bound,Home,,,Downtown,,,Personal errands,,,East Lake,,,37411,5,35.0277196,-85.2256635,7,35.0053103,-85.2851801,4- Hamilton Place,no_pass,no_pass,,,,,,
42,4241584232,4- Hamilton Place,Out Bound,Home,,1512,Wilson,Wilcox & Holtzclaw,,Work,,,Hamilton Place & Bam,Shallowford Rd,,37406,9,35.0541237,-85.2708729,9,35.0336912,-85.1585253,4- Hamilton Place,pass,pass,,,,,,
43,4241590139,4- Hamilton Place,In Bound,Home,,,East Brainerd,Reserve Way,,Work,,940,Market,Market & 10th St,,37421,9,35.0114288,-85.1563553,9,35.0451964,-85.3086895,4- Hamilton Place,pass,pass,,,,,,
44,4241595740,4- Hamilton Place,In Bound,Home,,211,Rolling Ridge Dr,Banks,,Work,,1001,Broad St,,TVA,37421,9,35.0059923,-85.110471,9,35.0430934,-85.3096633,4- Hamilton Place,pass,pass,,,,,,
45,4241603464,4- Hamilton Place,In Bound,School (K-12),,,20th St,Main & 20th,,Home,,,20th St & Market,,,37410,9,35.0334479,-85.2999218,9,35.031526,-85.3087365,4- Hamilton Place,pass,pass,,,,,,
46,4241608393,4- Hamilton Place,Out Bound,Work,,,Downtown,,,Home,,,Westside,,,37405,9,35.0456297,-85.3096801,8,35.0416174,-85.3181452,4- Hamilton Place,pass,pass,,,,,,
47,4241613454,4- Hamilton Place,Out Bound,Home,,2806,4th Ave,,,Medical / Hospital,,,Southside,,,37407,9,35.0107863,-85.2832707,9,35.0355387,-85.3145456,4- Hamilton Place,pass,pass,,,,,,
48,4241618195,4- Hamilton Place,Out Bound,Home,,,Bailey,,,Work,,,Hamilton Place,,,37406,7,35.0339416,-85.2774321,9,35.0336912,-85.1585253,4- Hamilton Place,no_pass,pass,,,,,,
49,4241624398,4- Hamilton Place,In Bound,Personal errands,,,Lee Hwy & Perimeter,,,Home,,1102,Austin,Brainerd & Bolivar,BX,37403,9,35.0304926,-85.1855534,9,35.0117989,-85.2419968,4- Hamilton Place,pass,pass,,,,,,
