stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
12,2201,"MARKET + FAMILY DOLLAR",,35.05070,-85.30953,,
17,2164,"MARKET + 11TH",,35.04425,-85.30944,,
18,3074,"MARKET + 12TH",,35.04235,-85.30907,,
19,2204,"MARKET + COWART",,35.04095,-85.30839,,
21,2217,"MARKET + MAIN",,35.03638,-85.30732,,
22,2173,"MARKET + 17TH",,35.03465,-85.30826,,
23,2175,"MARKET + 19TH",,35.03276,-85.30864,,
24,2177,"MARKET + 20TH",,35.03179,-85.30883,,
25,2178,"MARKET + 21ST",,35.03082,-85.30909,,
26,2206,"MARKET + E 25TH",,35.02755,-85.31066,,
27,2229,"MARKET + W 25TH",,35.02674,-85.31103,,
28,2179,"MARKET + 26TH",,35.02592,-85.31149,,
38,1373,"BROAD + GLENVIEW",,35.01714,-85.32260,,
41,2425,"TENN AVE + WALGREENS",,35.01374,-85.32546,,
43,43,"TENN AVE + SUNTRUST BANK",,35.01143,-85.32729,,
44,44,"BI LO + BI LO STOP",,35.01063,-85.32582,,
72,1612,"DORRIS + 5216",,34.98990,-85.31591,,
74,1206,"52ND + 524",,34.98982,-85.31300,,
75,75,"52ND + POLK",,34.98939,-85.31185,,
81,1242,"ANGELA + 4910",,34.99030,-85.30489,,
90,4,"ANGELA + 49TH",,34.99125,-85.30497,,
95,3,"HALSEY + CENTRAL",,34.98907,-85.31948,,
100,2004,"CENTRAL + WORKMANS",,34.99871,-85.31427,,
101,1448,"CENTRAL + 45TH",,34.99995,-85.31360,,
102,1446,"CENTRAL + 42ND",,35.00202,-85.31244,,
103,1445,"CENTRAL + 41ST",,35.00380,-85.31149,,
104,1443,"CENTRAL + 38TH",,35.00531,-85.31068,,
105,1109,"38TH + HUGHES",,35.00584,-85.31144,,
106,1111,"38TH + KIRKLAND",,35.00629,-85.31262,,
107,1107,"38TH + HIGHLAND",,35.00671,-85.31376,,
108,1094,"38TH + CHANDLER PLACE",,35.00699,-85.31449,,
109,1113,"38TH + OHLS",,35.00762,-85.31622,,
110,1100,"38TH + ALTON PK BLVD",,35.00818,-85.31767,,
111,111,"37TH + ALTON PARK BLVD",,35.00927,-85.31730,,
112,2658,"37TH + CALVIN DONALDSON",,35.01006,-85.31866,,
113,2659,"PIROLA + 37TH",,35.01059,-85.32002,,
114,1114,"PIROLA + 38TH",,35.00939,-85.32091,,
115,2314,"PIROLA + POST OFFICE",,35.00837,-85.32147,,
116,2660,"40TH + SOUTHSIDE REC",,35.00821,-85.32279,,
118,1157,"40TH + BEN MILLER PK",,35.00813,-85.32527,,
124,1372,"BROAD + 33RD",,35.01743,-85.32222,,
125,1080,"33RD + CHATTEM",,35.01727,-85.32133,,
126,2665,"33RD + WILLIAMS",,35.01689,-85.32023,,
127,127,"33RD + TEEN CHALLENGE",,35.01647,-85.31904,,
128,1085,"33RD + TARLTON",,35.01610,-85.31797,,
129,2667,"33RD + DELONG",,35.01575,-85.31697,,
130,1077,"33RD + ALTON PK BLVD",,35.01493,-85.31460,,
132,1228,"ALTON PK BLVD + 31ST",,35.01727,-85.31300,,
133,1231,"ALTON PK BLVD + SHIPP",,35.01886,-85.31211,,
134,1803,"S MARKET + D M WHITE",,35.01995,-85.31150,,
136,1805,"S MARKET + HOWARD SCHOOL OF ACADEMICS AND TECHNOLOGY",,35.02546,-85.31155,,
137,1804,"S MARKET + E 25TH",,35.02649,-85.31099,,
138,1800,"S MARKET + 19TH",,35.03227,-85.30855,,
139,1799,"S MARKET + 17TH",,35.03414,-85.30820,,
140,1798,"S MARKET + 16TH",,35.03509,-85.30775,,
141,2218,"S MARKET + MAIN",,35.03586,-85.30732,,
142,2203,"MARKET + CHOO CHOO",,35.03746,-85.30737,,
