stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
143,2370,"MARKET + SPS",,35.03860,-85.30743,,
144,2205,"MARKET + DRC",,35.04026,-85.30788,,
145,8,"MARKET + 12TH",,35.04168,-85.30864,,
146,5286,"ANGELA + WOODLAND VIEW",,34.98959,-85.30462,,
148,1168,"49TH + WILSON",,34.99252,-85.30775,,
150,2566,"WILSON + WORKMANS",,34.99567,-85.30616,,
151,2008,"WORKMANS + FAGAN",,34.99788,-85.31166,,
152,2006,"WORKMANS + DORRIS",,34.99829,-85.31274,,
155,2588,"WOODLAND VIEW + JEFFEREY",,34.98932,-85.30549,,
157,2564,"51ST + WILSON",,34.99026,-85.30904,,
158,1212,"52ND + WILSON",,34.98899,-85.31004,,
161,1208,"52ND + FAGAN",,34.99054,-85.31454,,
163,2165,"MARKET + 11TH  PATTEN TOWERS",,35.04345,-85.30928,,
164,2221,"MARKET + MILLER PK",,35.04505,-85.30931,,
165,2216,"MARKET + M.L.KING",,35.04606,-85.30934,,
166,2186,"MARKET + 5TH",,35.05072,-85.30945,,
167,3063,"MARKET + 4TH",,35.05212,-85.30955,,
168,168,"4TH + CHERRY",,35.05215,-85.30875,,
169,1201,"4TH + LOOKOUT",,35.05215,-85.30664,,
170,1198,"4TH + HIGH",,35.05210,-85.30567,,
171,1200,"4TH + LINDSAY",,35.05183,-85.30321,,
172,1199,"4TH + HOUSTON",,35.05130,-85.30189,,
173,3062,"4TH + MABEL",,35.05073,-85.30007,,
174,174,"3RD + SISKIN",,35.05006,-85.29620,,
175,1121,"3RD + COLLINS",,35.04963,-85.29461,,
176,1128,"3RD + HAMPTON",,35.04833,-85.29208,,
177,1153,"3RD + WIEHL",,35.04781,-85.29074,,
178,1118,"3RD + CENTRAL",,35.04695,-85.28857,,
179,1145,"3RD + ONEAL",,35.04639,-85.28706,,
180,1149,"3RD + SCRUGGS",,35.04584,-85.28552,,
181,1152,"3RD + WARNER PARK",,35.04397,-85.28054,,
182,1133,"3RD + HIGHLAND PARK",,35.04310,-85.27803,,
183,1135,"3RD + HOLLY",,35.04262,-85.27679,,
184,1129,"3RD + HAWTHORNE",,35.04145,-85.27364,,
185,2740,"ORCHARD KNOB + GARFIELD",,35.04146,-85.27164,,
188,2298,"OKNOB + CITICO",,35.04573,-85.26941,,
189,2308,"OKNOB + ROBBINS",,35.04667,-85.26894,,
190,2304,"OKNOB + MILNE",,35.04826,-85.26808,,
191,1758,"ROANOKE + COOLEY",,35.05035,-85.26571,,
192,1773,"ROANOKE + WILSON",,35.05200,-85.26482,,
193,1772,"ROANOKE + WILCOX SE",,35.05362,-85.26393,,
194,1756,"ROANOKE + CAMDEN",,35.05534,-85.26299,,
195,1763,"ROANOKE + OCOEE",,35.05649,-85.26237,,
211,1593,"DODSON + CRUTCHFIELD",,35.06412,-85.25455,,
212,1597,"DODSON + DAISY",,35.06607,-85.25346,,
213,1587,"DODSON + APPLING",,35.06732,-85.25280,,
214,1599,"DODSON + FAIRLEIGH",,35.06841,-85.25218,,
215,1589,"DODSON + BACHMAN",,35.06947,-85.25161,,
216,1596,"DODSON + CUSHMAN",,35.07058,-85.25101,,
217,2412,"STUART + DODSON",,35.07173,-85.25017,,
219,2601,"DODSON AVENUE HEALTH CENTER",,35.05039,-85.26204,,
220,220,"WILSON + BRADT",,35.05180,-85.26398,,
221,11,"HIGHWAY 58 + JERSEY PIKE",,35.09312,-85.18013,,
222,1890,"JERSEY PIKE + GOODWILL",,35.09160,-85.18042,,
223,2028,"JERSEY PIKE + OAKWOOD",,35.08823,-85.18233,,
225,1895,"HIGHWAY 58 + WEBB ROAD",,35.08641,-85.19172,,
226,1274,"BONNY OAKS + ACCESS",,35.08101,-85.21354,,
227,227,"CAMPBELL + ADDISON",,35.07956,-85.22690,,
228,228,"CAMPBELL + PARKWAY",,35.07409,-85.23464,,
229,1423,"CAMPBELL + BIRCHWOOD",,35.07344,-85.23797,,
230,2410,"STUART + CHAMBERLAIN",,35.07031,-85.24622,,
231,2415,"STUART + WHEELER",,35.07083,-85.24754,,
232,2413,"STUART + TAYLOR",,35.07134,-85.24885,,
233,1595,"DODSON + CUSHMAN",,35.07088,-85.25091,,
234,1590,"DODSON + BACHMAN",,35.06980,-85.25153,,
235,1600,"DODSON + FAIRLEIGH",,35.06863,-85.25217,,
236,1588,"DODSON + APPLING",,35.06757,-85.25272,,
237,1598,"DODSON + DAISY",,35.06648,-85.25331,,
238,1594,"DODSON + CRUTCHFIELD",,35.06449,-85.25439,,
253,1766,"ROANOKE + OLIVE",,35.05794,-85.26161,,
254,1764,"ROANOKE + OCOEE",,35.05671,-85.26228,,
255,1757,"ROANOKE + CAMDEN",,35.05562,-85.26288,,
256,1770,"ROANOKE + WILCOX NW",,35.05398,-85.26379,,
257,1774,"ROANOKE + WILSON",,35.05233,-85.26474,,
258,1762,"ROANOKE + LAURA",,35.05151,-85.26515,,
259,1759,"ROANOKE + COOLEY",,35.05072,-85.26576,,
260,1768,"ROANOKE + PORTLAND",,35.04988,-85.26606,,
261,261,"OKNOB + 957",,35.04942,-85.26719,,
262,2305,"OKNOB + MILNE",,35.04863,-85.26797,,
263,2297,"OKNOB + CARSON",,35.04731,-85.26868,,
264,2299,"OKNOB + CITICO",,35.04614,-85.26932,,
265,2303,"OKNOB + JACKSON",,35.04483,-85.27002,,
266,2301,"OKNOB + CLEVELAND",,35.04335,-85.27081,,
269,1130,"3RD + HAWTHORNE",,35.04135,-85.27323,,
270,1136,"3RD + HOLLY",,35.04269,-85.27647,,
271,1125,"3RD + DIAG CLINIC",,35.04342,-85.27847,,
272,1138,"3RD + HOLTZCLAW",,35.04372,-85.27965,,
273,273,"3RD + FIELD HOUSE",,35.04429,-85.28075,,
274,1150,"3RD + SCRUGGS",,35.04589,-85.28521,,
275,1146,"3RD + ONEAL",,35.04639,-85.28647,,
276,1119,"3RD + CENTRAL",,35.04684,-85.28774,,
277,1154,"3RD + WIEHL",,35.04782,-85.29036,,
278,1127,"3RD + HAMPTON",,35.04829,-85.29170,,
279,1148,"3RD + PALMETTO",,35.04873,-85.29302,,
280,1122,"3RD + COLLINS",,35.04954,-85.29432,,
281,1124,"3RD + CSAS",,35.04990,-85.29531,,
282,1142,"3RD + MABEL",,35.05129,-85.29930,,
283,1139,"3RD + HOUSTON",,35.05191,-85.30130,,
284,1140,"3RD + LINDSAY",,35.05252,-85.30243,,
285,1131,"3RD + HIGH",,35.05351,-85.30527,,
286,1151,"3RD + WALNUT",,35.05357,-85.30734,,
287,1120,"3RD + CHERRY",,35.05355,-85.30842,,
288,10,"STUART + DODSON",,35.07193,-85.25009,,
289,289,"STUART + TAYLOR",,35.07142,-85.24912,,
290,290,"STUART + WHEELER",,35.07089,-85.24780,,
291,2410,"STUART + CHAMBERLAIN",,35.07040,-85.24648,,
292,1481,"CHAMBERLAIN + CUSHMAN",,35.06931,-85.24692,,
293,1471,"CHAMBERLAIN + BOONE",,35.06851,-85.24740,,
294,1485,"CHAMBERLAIN + FAIRLEIGH",,35.06721,-85.24812,,
295,295,"GLASS + WILHOIT",,35.06676,-85.24462,,
296,1424,"CAMPBELL + GLASS",,35.06718,-85.24351,,
297,297,"CAMPBELL + MOON",,35.06950,-85.24378,,
298,1430,"CAMPBELL + WILDER",,35.07045,-85.24328,,
299,1419,"CAMPBELL + BATTERY HEIGHTS",,35.07243,-85.24139,,
300,1427,"CAMPBELL + N.Y. AVE",,35.07340,-85.23810,,
301,1278,"BONNY OAKS + PARKWAY",,35.07403,-85.23472,,
302,1279,"BONNY OAKS + TUGALOO",,35.07451,-85.23329,,
303,303,"BONNY OAKS + TALATHA",,35.07573,-85.23102,,
304,304,"BONNY OAKS + ACCESS",,35.08077,-85.21421,,
305,305,"HIGHWAY 58 + SHELBORNE",,35.08450,-85.20011,,
306,1889,"HIGHWAY 58 + INWOOD",,35.08462,-85.19889,,
307,1893,"HIGHWAY 58 + ROCKY RIVER",,35.08515,-85.19474,,
308,1885,"HIGHWAY 58 + BRIARWOOD",,35.08569,-85.19296,,
309,1888,"HIGHWAY 58 + HAL DRIVE",,35.08613,-85.19193,,
310,1886,"HIGHWAY 58 + FOOD LION",,35.09199,-85.18263,,
311,311,"WILSON + ROANOKE",,35.05210,-85.26461,,
312,1143,"3RD + OKNOB",,35.04087,-85.27216,,
313,1155,"3RD + WILLOW",,35.03990,-85.26935,,
314,2545,"WILLOW + 4TH",,35.03908,-85.26972,,
315,2547,"WILLOW + 5TH",,35.03834,-85.27005,,
316,2553,"WILLOW + IVY",,35.03746,-85.27045,,
317,2559,"WILLOW + VINE",,35.03651,-85.27100,,
318,2557,"WILLOW + OAK",,35.03581,-85.27135,,
319,2551,"WILLOW + DUNCAN",,35.03416,-85.27227,,
320,2549,"WILLOW + CHAMBERLAIN",,35.03335,-85.27272,,
321,1255,"BAILEY AVE + KELLY",,35.03181,-85.27180,,
322,1256,"BAILEY AVE + LYERLY",,35.03128,-85.27040,,
323,1583,"DODDS + DUNCAN",,35.03091,-85.26426,,
324,1698,"GLENWOOD + OAK",,35.03237,-85.26345,,
325,1704,"GLENWOOD + VINE",,35.03367,-85.26275,,
326,1687,"GLENWOOD + 5TH",,35.03505,-85.26199,,
327,1685,"GLENWOOD + 4TH",,35.03587,-85.26156,,
328,1681,"GLENWOOD + 3RD",,35.03673,-85.26104,,
329,1684,"GLENWOOD + 418 GLENWOOD",,35.03869,-85.26102,,
330,1700,"GLENWOOD + PARKWOOD",,35.03954,-85.25964,,
332,1702,"GLENWOOD + ROBBINS",,35.04258,-85.25783,,
333,1696,"GLENWOOD + MISSION",,35.04512,-85.25690,,
334,1678,"GLENWOOD + 1016 GLENWOOD",,35.04623,-85.25681,,
335,1680,"GLENWOOD + 1208 GLENWOOD",,35.04829,-85.25676,,
336,1689,"GLENWOOD + CHAMBERLAIN",,35.04936,-85.25768,,
337,1497,"CHAMBERLAIN + POLK",,35.05053,-85.25738,,
338,1499,"CHAMBERLAIN + WILCOX",,35.05154,-85.25663,,
339,1495,"CHAMBERLAIN + OLIVE",,35.05510,-85.25473,,
340,1486,"CHAMBERLAIN + GILBERT",,35.05622,-85.25408,,
342,1492,"CHAMBERLAIN + MCRAE",,35.05776,-85.25317,,
343,1472,"CHAMBERLAIN + BRAGG",,35.05939,-85.25233,,
344,1482,"CHAMBERLAIN + EMMA",,35.06088,-85.25150,,
345,1478,"CHAMBERLAIN + CRUTCHFIELD",,35.06276,-85.25050,,
346,1490,"CHAMBERLAIN + LATTA",,35.06403,-85.24980,,
347,1488,"CHAMBERLAIN + GLASS",,35.06524,-85.24912,,
348,1276,"BONNY OAKS + ADDISON",,35.07948,-85.22739,,
349,2555,"WILLOW + MCCALLIE",,35.03502,-85.27180,,
350,1484,"CHAMBERLAIN + FAIRLEIGH",,35.06700,-85.24813,,
351,1470,"CHAMBERLAIN + BOONE",,35.06843,-85.24735,,
352,1480,"CHAMBERLAIN + CUSHMAN",,35.06919,-85.24692,,
353,1498,"CHAMBERLAIN + STUART",,35.07022,-85.24637,,
354,2942,"SHOLAR + CARTA",,35.05617,-85.26871,,
355,355,"HOLZCLAW + WILCOX",,35.05513,-85.26941,,
356,356,"HOLZCLAW + WILSON",,35.05476,-85.27043,,
357,357,"HOLZCLAW + PUMP STA",,35.05230,-85.27491,,
358,358,"HOLZCLAW + CHATTANOOGA HOUSING AUTHORITY",,35.04902,-85.27711,,
359,359,"HOLZCLAW + CLEVELAND",,35.04641,-85.27851,,
360,1489,"CHAMBERLAIN + GLASS",,35.06569,-85.24894,,
361,1491,"CHAMBERLAIN + LATTA",,35.06408,-85.24980,,
362,1479,"CHAMBERLAIN + CRUTCHFIELD",,35.06305,-85.25037,,
363,1483,"CHAMBERLAIN + EMMA",,35.06110,-85.25144,,
364,1473,"CHAMBERLAIN + BRAGG",,35.05956,-85.25228,,
365,1493,"CHAMBERLAIN + MCRAE",,35.05813,-85.25306,,
366,1487,"CHAMBERLAIN + GILBERT",,35.05631,-85.25404,,
367,1496,"CHAMBERLAIN + OLIVE",,35.05534,-85.25457,,
368,1494,"CHAMBERLAIN + OCOEE",,35.05421,-85.25519,,
369,1477,"CHAMBERLAIN + CAMDEN",,35.05304,-85.25582,,
370,1500,"CHAMBERLAIN + WILCOX",,35.05200,-85.25638,,
371,1692,"GLENWOOD + LAURA",,35.04799,-85.25659,,
372,1679,"GLENWOOD + 1101",,35.04633,-85.25683,,
373,1697,"GLENWOOD + MISSION",,35.04527,-85.25694,,
374,1695,"GLENWOOD + MILNE",,35.04370,-85.25730,,
375,1703,"GLENWOOD + ROBBINS",,35.04284,-85.25778,,
376,1701,"GLENWOOD + PARKWOOD",,35.03990,-85.25946,,
377,1683,"GLENWOOD + 417",,35.03876,-85.26109,,
378,1682,"GLENWOOD + 3RD",,35.03715,-85.26109,,
379,2724,"GLENWOOD + 4TH",,35.03620,-85.26155,,
380,1688,"GLENWOOD + 5TH",,35.03537,-85.26199,,
381,1691,"GLENWOOD + IVY",,35.03455,-85.26242,,
382,1705,"GLENWOOD + VINE",,35.03369,-85.26288,,
383,1699,"GLENWOOD + OAK",,35.03287,-85.26334,,
384,1693,"GLENWOOD + MCCALLIE",,35.03201,-85.26368,,
385,2459,"UNION + BUCKLEY",,35.02937,-85.26767,,
386,2462,"UNION + WATKINS",,35.02987,-85.26895,,
387,2461,"UNION + LYERLY",,35.03044,-85.27051,,
388,2460,"UNION + KELLY",,35.03100,-85.27204,,
389,2463,"UNION + WILLOW",,35.03153,-85.27353,,
390,2458,"UNION + BAILEY",,35.03185,-85.27344,,
391,2550,"WILLOW + CHAMBERLAIN",,35.03308,-85.27293,,
392,2552,"WILLOW + DUNCAN",,35.03391,-85.27232,,
393,2558,"WILLOW + OAK",,35.03551,-85.27140,,
394,2560,"WILLOW + VINE",,35.03631,-85.27099,,
395,2554,"WILLOW + IVY",,35.03712,-85.27053,,
396,2548,"WILLOW + 5TH",,35.03801,-85.27013,,
397,1156,"3RD + WILLOW",,35.03918,-85.26954,,
398,2727,"3RD + ROANOKE",,35.04031,-85.27042,,
399,14,"3RD + ORCHARD KNOB",,35.04078,-85.27180,,
407,2236,"MCCALLIE AVE + BRYAN HOME",,35.04418,-85.29666,,
408,3324,"MCCALLIE AVE + BALDWIN",,35.04499,-85.29882,,
409,2240,"MCCALLIE AVE + DOUGLAS",,35.04588,-85.30139,,
412,2260,"MCCALLIE AVE + STATE BLDG",,35.04646,-85.30290,,
413,2249,"MCCALLIE + HOUSTON",,35.04688,-85.30402,,
414,414,"HOUSTON + OAK",,35.04768,-85.30370,,
415,415,"VINE + HOUSTON",,35.04884,-85.30306,,
423,1380,"BROAD + 6TH",,35.04940,-85.31074,,
424,1382,"BROAD + 7TH",,35.04818,-85.31068,,
425,1384,"BROAD + 8TH",,35.04697,-85.31063,,
426,426,"BROAD + M.L.KING",,35.04548,-85.31055,,
427,427,"BROAD + TVA #1",,35.04313,-85.31033,,
428,1349,"BROAD + 16TH",,35.03686,-85.31173,,
429,1351,"BROAD + 17TH",,35.03603,-85.31220,,
430,1356,"BROAD + 20TH",,35.03366,-85.31349,,
431,1360,"BROAD + 25TH",,35.02860,-85.31632,,
432,1362,"BROAD + 26TH",,35.02774,-85.31678,,
433,1364,"BROAD + 27TH",,35.02587,-85.31781,,
434,1366,"BROAD + 28TH",,35.02497,-85.31831,,
435,1369,"BROAD + 31ST",,35.02105,-85.32044,,
436,1393,"BROAD + CONOCO",,35.01990,-85.32107,,
437,1370,"BROAD + 32ND",,35.01914,-85.32148,,
439,2423,"TENN AVE + INCLINE",,35.00978,-85.32800,,
440,2373,"ST ELMO + 41ST",,35.00674,-85.32868,,
441,2375,"ST ELMO + 42ND",,35.00490,-85.32886,,
442,2401,"ST ELMO + THANKFUL",,35.00413,-85.32894,,
443,2379,"ST ELMO + 44TH",,35.00198,-85.32915,,
444,2381,"ST ELMO + 45TH",,35.00047,-85.32930,,
445,2383,"ST ELMO + 46TH",,34.99868,-85.32950,,
446,2385,"ST ELMO + 47TH",,34.99685,-85.32965,,
447,2387,"ST ELMO + 48TH",,34.99571,-85.33005,,
448,2389,"ST ELMO + 49TH",,34.99474,-85.33046,,
449,2391,"ST ELMO + 51ST",,34.99256,-85.33096,,
450,2395,"ST ELMO + 54TH",,34.98987,-85.33123,,
451,2397,"ST ELMO + 55TH",,34.98845,-85.33121,,
452,1214,"55TH + ALABAMA",,34.98845,-85.33274,,
453,1226,"ALABAMA + 56TH",,34.98700,-85.33325,,
454,2626,"56TH + ST ELMO AVENUE",,34.98681,-85.33213,,
472,472,"BROAD + WENDYS",,35.02015,-85.32072,,
473,473,"BROAD + 28TH",,35.02459,-85.31827,,
474,474,"BROAD + 27TH",,35.02563,-85.31773,,
475,475,"BROAD + 26TH",,35.02744,-85.31672,,
476,476,"BROAD + 21ST",,35.03235,-85.31395,,
477,477,"BROAD + 19TH",,35.03416,-85.31300,,
478,478,"BROAD + 18TH",,35.03497,-85.31254,,
479,479,"BROAD + 17TH",,35.03581,-85.31209,,
480,480,"BROAD + 16TH",,35.03664,-85.31161,,
481,481,"BROAD + MAIN",,35.03745,-85.31122,,
482,482,"BROAD + 13TH",,35.03964,-85.30999,,
483,483,"BROAD + 12TH",,35.04160,-85.30953,,
484,484,"BROAD + TVA",,35.04266,-85.31017,,
485,485,"BROAD + 11TH",,35.04377,-85.31034,,
486,486,"BROAD + M.L.KING",,35.04555,-85.31041,,
487,487,"BROAD + 8TH",,35.04728,-85.31045,,
488,1383,"BROAD + 7TH",,35.04846,-85.31047,,
489,489,"BROAD + 6TH NS",,35.04990,-85.31045,,
493,1343,"BROAD + 11TH",,35.04408,-85.31053,,
494,1405,"BROAD + TVA #2",,35.04238,-85.31026,,
495,495,"12TH + MARKET",,35.04182,-85.30899,,
503,1203,"4TH + WALNUT",,35.05222,-85.30766,,
505,2321,"RIVERSIDE + RIVER PARK",,35.05602,-85.28108,,
507,1235,"AMNICOLA + CREEKSIDE",,35.09283,-85.25582,,
508,1234,"AMNICOLA + COCA COLA",,35.09399,-85.25280,,
509,509,"NORTHGATE MALL",,35.12886,-85.24071,,
511,1262,"BARTON + CREWDSON",,35.06388,-85.29750,,
512,1265,"BARTON + MCFARLAND",,35.06435,-85.29658,,
513,1267,"BARTON + NORMAL",,35.06497,-85.29518,,
514,1266,"BARTON + MISSISSIPPI",,35.06565,-85.29319,,
515,1269,"BARTON + RUSSELL",,35.06618,-85.29162,,
516,1264,"BARTON + DUGDALE",,35.06668,-85.29020,,
517,1933,"HIXSON PK + HANOVER",,35.06834,-85.28941,,
518,518,"FALMOUTH + HIXSON PIKE",,35.06937,-85.28925,,
519,1896,"HIXSON PK + 1312",,35.07095,-85.28908,,
520,1899,"HIXSON PK + 1336",,35.07296,-85.28858,,
522,1971,"HIXSON PK + RIVERVIEW",,35.07514,-85.28817,,
523,1973,"HIXSON PK + S SHADY",,35.07667,-85.28830,,
524,1958,"HIXSON PK + N SHADY",,35.07814,-85.28914,,
525,1982,"HIXSON PK + WOODHILL",,35.07959,-85.28970,,
526,1901,"HIXSON PK + 1814",,35.08055,-85.28977,,
527,1954,"HIXSON PK + MINNEKAHDA",,35.08181,-85.28985,,
529,1916,"HIXSON PK + CONTINENTAL",,35.08674,-85.29020,,
530,1905,"HIXSON PK + ALTAMONT",,35.08796,-85.28893,,
531,1965,"HIXSON PK + RIVER HILL",,35.09023,-85.28687,,
532,1935,"HIXSON PK + HAYWOOD",,35.09141,-85.28647,,
533,1961,"HIXSON PK + OZARK",,35.09412,-85.28537,,
534,1969,"HIXSON PK + RIVERMONT",,35.09617,-85.28246,,
536,1952,"HIXSON PK + MEADOW LAKE",,35.10018,-85.27784,,
537,1967,"HIXSON PK + RIVERMONT PL",,35.10095,-85.27669,,
538,1968,"HIXSON PK + RIVERMONT SCHOOL",,35.10191,-85.27523,,
539,1944,"HIXSON PK + LUPTON",,35.10413,-85.27359,,
540,1939,"HIXSON PK + INTERMONT",,35.10635,-85.27235,,
541,1946,"HIXSON PK + MANCHESTER",,35.10814,-85.27165,,
542,1948,"HIXSON PK + MAULDETH",,35.10990,-85.27094,,
543,1929,"HIXSON PK + GRACE BIBLE",,35.11153,-85.26914,,
544,1978,"HIXSON PK + W FAIRFAX",,35.11218,-85.26674,,
546,1941,"HIXSON PK + KENSINGTON",,35.11304,-85.26253,,
547,1959,"HIXSON PK + NORCROSS",,35.11334,-85.26140,,
549,1902,"HIXSON PK + ACCESS RD",,35.11435,-85.25714,,
550,1920,"HIXSON PK + DUPONT ELEM",,35.11479,-85.25369,,
551,1984,"HIXSON PK + YMCA",,35.11520,-85.25182,,
552,1921,"HIXSON PK + DUPONT PKWY",,35.11710,-85.25031,,
553,1931,"HIXSON PK + HAMILL",,35.11836,-85.24970,,
554,1909,"HIXSON PK + BAGWELL",,35.12139,-85.24864,,
556,1980,"HIXSON PK + WILLIAMS",,35.12509,-85.24748,,
557,1914,"HIXSON PK + CLOVERDALE",,35.12845,-85.24645,,
558,558,"NORTHGATE + PANERA",,35.13224,-85.24192,,
559,559,"NORTHGATE + T.J.MAXX",,35.13092,-85.24204,,
560,560,"NORTHGATE + ARBYS",,35.12827,-85.24201,,
561,561,"N POINT BLVD + LOWES",,35.13846,-85.24686,,
562,562,"N POINT BLVD + OWEN CYCLERY",,35.13868,-85.24419,,
563,563,"N POINT BLVD + HIXON PK",,35.13584,-85.23945,,
564,564,"NORTHGATE + CHILIS",,35.13250,-85.24130,,
568,1217,"5TH + REPUBLIC LOT",,35.05093,-85.31004,,
569,1378,"BROAD + JACKS ALLEY",,35.05158,-85.31057,,
570,1915,"HIXSON PK + CLOVERDALE",,35.12833,-85.24668,,
571,1981,"HIXSON PK + WILLIAMS",,35.12719,-85.24697,,
572,1924,"HIXSON PK + ELY",,35.12322,-85.24819,,
573,1910,"HIXSON PK + BAGWELL",,35.12197,-85.24859,,
574,1932,"HIXSON PK + HAMILL",,35.11844,-85.24988,,
575,1938,"HIXSON PK + HIGHWOOD",,35.11496,-85.25333,,
576,1953,"HIXSON PK + TACO BELL",,35.11489,-85.25567,,
577,1903,"HIXSON PK + ACCESS RD",,35.11472,-85.25656,,
578,1960,"HIXSON PK + NORCROSS",,35.11359,-85.26134,,
579,579,"HIXSON PK + KENSINGTON",,35.11331,-85.26232,,
580,580,"HIXSON PK + FOREST HIGHLAND",,35.11313,-85.26339,,
581,1979,"HIXSON PK + W FAIRFAX",,35.11238,-85.26665,,
583,1949,"HIXSON PK + MAULDETH",,35.11014,-85.27094,,
584,1956,"HIXSON PK + MUNRO",,35.10936,-85.27132,,
585,1947,"HIXSON PK + MANCHESTER",,35.10846,-85.27165,,
586,1940,"HIXSON PK + INTERMONT",,35.10688,-85.27227,,
587,1945,"HIXSON PK + LUPTON",,35.10445,-85.27355,,
588,588,"HIXSON PK + PRES CHURCH",,35.10224,-85.27496,,
589,1911,"HIXSON PK + BLACK OAK",,35.10153,-85.27574,,
590,1942,"HIXSON PK + LAWSON",,35.10070,-85.27719,,
591,1943,"HIXSON PK + LINDEN HALL",,35.10010,-85.27797,,
592,1977,"HIXSON PK + VAN BUREN",,35.09974,-85.27884,,
593,1970,"HIXSON PK + RIVERMONT",,35.09635,-85.28235,,
594,1962,"HIXSON PK + OZARK",,35.09416,-85.28529,,
595,1936,"HIXSON PK + HAYWOOD",,35.09152,-85.28647,,
596,1966,"HIXSON PK + RIVER MANOR",,35.09042,-85.28685,,
597,1906,"HIXSON PK + ALTAMONT",,35.08826,-85.28849,,
598,1917,"HIXSON PK + CONTINENTAL",,35.08681,-85.29024,,
599,1922,"HIXSON PK + E DALLAS",,35.08189,-85.28989,,
600,1983,"HIXSON PK + WOODHILL",,35.07966,-85.28976,,
601,1957,"HIXSON PK + N SHADY",,35.07813,-85.28923,,
602,1974,"HIXSON PK + S SHADY",,35.07674,-85.28842,,
603,1925,"HIXSON PK + ENGLEWOOD",,35.07457,-85.28846,,
