node,in_ID,out_ID,in_FUNCCLASS,out_FUNCCLASS
2750,38589,730,98.0,11.0
16469,38569,17366,98.0,1.0
16941,38571,17809,98.0,11.0
16608,38599,17481,98.0,1.0
