"GEO_ID","NAME","B08203_001E","B08203_001M","B08203_002E","B08203_002M","B08203_003E","B08203_003M","B08203_004E","B08203_004M","B08203_005E","B08203_005M","B08203_006E","B08203_006M","B08203_007E","B08203_007M","B08203_008E","B08203_008M","B08203_009E","B08203_009M","B08203_010E","B08203_010M","B08203_011E","B08203_011M","B08203_012E","B08203_012M","B08203_013E","B08203_013M","B08203_014E","B08203_014M","B08203_015E","B08203_015M","B08203_016E","B08203_016M","B08203_017E","B08203_017M","B08203_018E","B08203_018M","B08203_019E","B08203_019M","B08203_020E","B08203_020M","B08203_021E","B08203_021M","B08203_022E","B08203_022M","B08203_023E","B08203_023M","B08203_024E","B08203_024M","B08203_025E","B08203_025M","B08203_026E","B08203_026M","B08203_027E","B08203_027M","B08203_028E","B08203_028M","B08203_029E","B08203_029M","B08203_030E","B08203_030M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!No workers:","Margin of Error!!Total:!!No workers:","Estimate!!Total:!!No workers:!!No vehicle available","Margin of Error!!Total:!!No workers:!!No vehicle available","Estimate!!Total:!!No workers:!!1 vehicle available","Margin of Error!!Total:!!No workers:!!1 vehicle available","Estimate!!Total:!!No workers:!!2 vehicles available","Margin of Error!!Total:!!No workers:!!2 vehicles available","Estimate!!Total:!!No workers:!!3 vehicles available","Margin of Error!!Total:!!No workers:!!3 vehicles available","Estimate!!Total:!!No workers:!!4 or more vehicles available","Margin of Error!!Total:!!No workers:!!4 or more vehicles available","Estimate!!Total:!!1 worker:","Margin of Error!!Total:!!1 worker:","Estimate!!Total:!!1 worker:!!No vehicle available","Margin of Error!!Total:!!1 worker:!!No vehicle available","Estimate!!Total:!!1 worker:!!1 vehicle available","Margin of Error!!Total:!!1 worker:!!1 vehicle available","Estimate!!Total:!!1 worker:!!2 vehicles available","Margin of Error!!Total:!!1 worker:!!2 vehicles available","Estimate!!Total:!!1 worker:!!3 vehicles available","Margin of Error!!Total:!!1 worker:!!3 vehicles available","Estimate!!Total:!!1 worker:!!4 or more vehicles available","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available","Estimate!!Total:!!2 workers:","Margin of Error!!Total:!!2 workers:","Estimate!!Total:!!2 workers:!!No vehicle available","Margin of Error!!Total:!!2 workers:!!No vehicle available","Estimate!!Total:!!2 workers:!!1 vehicle available","Margin of Error!!Total:!!2 workers:!!1 vehicle available","Estimate!!Total:!!2 workers:!!2 vehicles available","Margin of Error!!Total:!!2 workers:!!2 vehicles available","Estimate!!Total:!!2 workers:!!3 vehicles available","Margin of Error!!Total:!!2 workers:!!3 vehicles available","Estimate!!Total:!!2 workers:!!4 or more vehicles available","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available","Estimate!!Total:!!3 or more workers:","Margin of Error!!Total:!!3 or more workers:","Estimate!!Total:!!3 or more workers:!!No vehicle available","Margin of Error!!Total:!!3 or more workers:!!No vehicle available","Estimate!!Total:!!3 or more workers:!!1 vehicle available","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available","Estimate!!Total:!!3 or more workers:!!2 vehicles available","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available","Estimate!!Total:!!3 or more workers:!!3 vehicles available","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available"
"1400000US47065010800","Census Tract 108, Hamilton County, Tennessee","1946","167","118","74","992","155","600","102","186","63","50","46","598","137","72","60","372","108","112","58","42","28","0","12","838","159","46","42","566","137","226","86","0","12","0","12","447","101","0","12","54","44","243","75","100","56","50","46","63","40","0","12","0","12","19","25","44","36","0","12"
"1400000US47065010901","Census Tract 109.01, Hamilton County, Tennessee","1094","81","41","40","603","98","394","76","48","24","8","13","231","82","41","40","151","73","36","23","3","6","0","12","561","106","0","12","437","101","109","49","7","13","8","13","288","65","0","12","15","13","243","59","30","20","0","12","14","14","0","12","0","12","6","9","8","12","0","12"
"1400000US47065010902","Census Tract 109.02, Hamilton County, Tennessee","435","55","26","21","170","70","165","54","53","34","21","22","146","50","20","19","64","37","42","23","16","15","4","7","159","66","6","8","106","71","32","22","15","24","0","12","124","52","0","12","0","12","85","49","22","19","17","21","6","10","0","12","0","12","6","10","0","12","0","12"
"1400000US47065010903","Census Tract 109.03, Hamilton County, Tennessee","2980","216","340","127","1325","254","1015","187","252","118","48","47","969","194","320","126","447","180","202","76","0","17","0","17","1110","228","20","29","820","191","214","93","56","48","0","17","800","192","0","17","58","42","599","174","119","99","24","27","101","79","0","17","0","17","0","17","77","70","24","38"
"1400000US47065011001","Census Tract 110.01, Hamilton County, Tennessee","741","60","24","19","166","55","300","77","154","44","97","43","306","63","24","19","133","52","103","37","37","24","9","11","226","48","0","12","33","18","90","40","79","38","24","22","184","49","0","12","0","12","107","47","33","21","44","25","25","22","0","12","0","12","0","12","5","7","20","20"
"1400000US47065011002","Census Tract 110.02, Hamilton County, Tennessee","2707","129","3","5","368","120","1214","180","777","177","345","98","534","118","0","17","200","95","237","69","74","45","23","23","1107","168","0","17","136","83","608","130","281","98","82","45","908","178","3","5","32","37","361","104","301","139","211","101","158","100","0","17","0","17","8","8","121","97","29","28"
"1400000US47065011100","Census Tract 111, Hamilton County, Tennessee","2369","178","120","79","463","129","1168","167","405","117","213","96","910","174","109","73","316","93","292","112","139","88","54","51","607","150","11","18","147","84","287","103","71","57","91","59","792","129","0","17","0","17","589","120","159","73","44","40","60","39","0","17","0","17","0","17","36","33","24","26"
"1400000US47065011201","Census Tract 112.01, Hamilton County, Tennessee","4505","260","215","155","796","288","2344","257","802","219","348","128","1320","294","147","170","440","240","558","214","153","118","22","38","1440","261","68","105","356","155","766","203","194","97","56","58","1519","274","0","19","0","19","1020","226","355","156","144","95","226","102","0","19","0","19","0","19","100","95","126","82"
"1400000US47065011203","Census Tract 112.03, Hamilton County, Tennessee","1857","135","19","24","375","120","852","157","436","133","175","68","433","122","0","17","183","95","138","80","82","54","30","29","650","157","19","24","148","75","340","112","108","52","35","34","649","152","0","17","44","43","365","125","197","105","43","33","125","60","0","17","0","17","9","14","49","36","67","41"
"1400000US47065011204","Census Tract 112.04, Hamilton County, Tennessee","2198","183","45","37","570","185","901","215","336","126","346","126","563","161","0","17","216","107","229","94","31","31","87","76","813","183","0","17","321","147","254","117","151","87","87","62","762","165","45","37","33","38","418","153","126","87","140","75","60","50","0","17","0","17","0","17","28","31","32","39"
"1400000US47065011311","Census Tract 113.11, Hamilton County, Tennessee","3602","222","324","132","1266","266","1264","283","582","181","166","83","932","200","251","121","226","89","303","138","152","117","0","17","1454","268","59","49","894","244","390","166","111","77","0","17","1008","217","14","24","117","104","524","184","257","125","96","67","208","103","0","17","29","50","47","49","62","48","70","50"
"1400000US47065011314","Census Tract 113.14, Hamilton County, Tennessee","1876","67","12","14","300","91","993","140","306","90","265","93","479","96","5","8","148","55","264","84","56","46","6","10","642","152","7","11","110","61","357","116","98","55","70","47","570","130","0","17","42","53","354","101","125","63","49","46","185","65","0","17","0","17","18","20","27","31","140","59"
